Modelo,R2,RMSE_C,Coeficientes,Seleccionado
Lineal,0.979276292235808,0.629338168574371,[-177.614264 140.6085818],0
Cuadrático,0.998560097519978,0.165888729917537,[745.9390755 -547.9298041 186.101903],0
Inverso asintótico,0.998862469447585,0.14744562042722,[12.25195828 0.01762445283],1
Exponencial asintótico,0.99276289707576,0.371905599105673,[118.4069331 -3.783074501],0
