Modelo,R2,RMSE_C,Coeficientes,Seleccionado
Lineal,0.973227192810066,0.657788664509059,[-155.6338577 141.4481941],0
Cuadrático,0.984517658795368,0.50021619361033,[603.4447876 -466.1989147 181.0145283],1
Inverso asintótico,0.984390061650266,0.502273220751319,[16.91785459 0.07379978062],0
Exponencial asintótico,0.980296117666519,0.564306863675884,[111.2724057 -3.01324136],0
