t = 4.500000
x    u(x,t)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 7.885715802971345889e-01
2.000000000000000111e-01 1.577895145274638145e+00
3.000000000000000444e-01 2.368720994742372188e+00
4.000000000000000222e-01 3.161796069478052029e+00
5.000000000000000000e-01 3.957862298346625174e+00
6.000000000000000888e-01 4.757654977001178231e+00
7.000000000000000666e-01 5.561901188062745582e+00
8.000000000000000444e-01 6.371318272146896611e+00
9.000000000000000222e-01 7.186612358455787941e+00
1.000000000000000000e+00 8.008476962893498197e+00
1.100000000000000089e+00 8.837591660799215987e+00
1.200000000000000178e+00 9.674620840437523128e+00
1.300000000000000044e+00 1.052021254234867875e+01
1.400000000000000133e+00 1.137499738855639286e+01
1.500000000000000000e+00 1.223958760446784311e+01
1.600000000000000089e+00 1.311457613509343290e+01
1.700000000000000178e+00 1.400053585597344608e+01
1.800000000000000044e+00 1.489801887793824697e+01
1.900000000000000133e+00 1.580755594355835925e+01
2.000000000000000000e+00 1.672965591187231382e+01
2.100000000000000089e+00 1.766480532672334292e+01
2.200000000000000178e+00 1.861346806279963673e+01
2.300000000000000266e+00 1.957608504226591961e+01
2.400000000000000355e+00 2.055307401370308540e+01
2.500000000000000000e+00 2.154482938394426128e+01
2.600000000000000089e+00 2.255172209231521308e+01
2.700000000000000178e+00 2.357409951575859353e+01
2.800000000000000266e+00 2.461228539234970825e+01
2.900000000000000355e+00 2.566657974979816004e+01
3.000000000000000000e+00 2.673725882467899240e+01
3.100000000000000089e+00 2.782457495735018327e+01
3.200000000000000178e+00 2.892875644679351765e+01
3.300000000000000266e+00 3.005000734896577796e+01
3.400000000000000355e+00 3.118850720166927815e+01
3.500000000000000000e+00 3.234441065844944063e+01
3.600000000000000089e+00 3.351784701360683272e+01
3.700000000000000178e+00 3.470891960007643462e+01
3.800000000000000266e+00 3.591770504168687239e+01
3.900000000000000355e+00 3.714425234117192076e+01
4.000000000000000000e+00 3.838858178527828358e+01
4.100000000000000533e+00 3.965068364840624326e+01
4.200000000000000178e+00 4.093051667644611769e+01
4.299999999999999822e+00 4.222800633284749949e+01
4.400000000000000355e+00 4.354304278949360452e+01
4.500000000000000000e+00 4.487547864566618472e+01
4.600000000000000533e+00 4.622512635929319202e+01
4.700000000000000178e+00 4.759175537578705928e+01
4.800000000000000711e+00 4.897508894112459643e+01
4.900000000000000355e+00 5.037480058740253952e+01
5.000000000000000000e+00 5.179051028094334441e+01
5.100000000000000533e+00 5.322178022513293882e+01
5.200000000000000178e+00 5.466811031256006004e+01
5.300000000000000711e+00 5.612893322369851745e+01
5.400000000000000355e+00 5.760360917233635547e+01
5.500000000000000000e+00 5.909142030120621314e+01
5.600000000000000533e+00 6.059156473480510385e+01
5.700000000000000178e+00 6.210315030019830829e+01
5.800000000000000711e+00 6.362518793066261225e+01
5.900000000000000355e+00 6.515658477131795223e+01
6.000000000000000000e+00 6.669613701039146747e+01
6.100000000000000533e+00 6.824252246441933778e+01
6.200000000000000178e+00 6.979429295047438586e+01
6.300000000000000711e+00 7.134986648336175108e+01
6.400000000000000355e+00 7.290751934059427697e+01
6.500000000000000000e+00 7.446537804277997452e+01
6.600000000000000533e+00 7.602141130175841965e+01
6.700000000000000178e+00 7.757342199333685073e+01
6.800000000000000711e+00 7.911903921572518072e+01
6.900000000000000355e+00 8.065571049866929343e+01
7.000000000000000000e+00 8.218069423175731458e+01
7.100000000000000533e+00 8.369105238333901298e+01
7.200000000000000178e+00 8.518364358387755431e+01
7.300000000000000711e+00 8.665511664926913227e+01
7.400000000000000355e+00 8.810190462064683459e+01
7.500000000000000000e+00 8.952021939736835066e+01
7.600000000000000533e+00 9.090604703921482610e+01
7.700000000000000178e+00 9.225514381225445959e+01
7.800000000000000711e+00 9.356303305031504181e+01
7.900000000000000355e+00 9.482500290054075265e+01
8.000000000000000000e+00 9.603610501707487401e+01
8.099999999999999645e+00 9.719115426151428494e+01
8.200000000000001066e+00 9.828472946245150865e+01
8.300000000000000711e+00 9.931117527918880228e+01
8.400000000000000355e+00 1.002646052066361193e+02
8.500000000000000000e+00 1.011389057495568835e+02
8.599999999999999645e+00 1.019277417847947476e+02
8.700000000000001066e+00 1.026245631199956847e+02
8.800000000000000711e+00 1.032226122467518508e+02
8.900000000000000355e+00 1.037149332751608313e+02
9.000000000000000000e+00 1.040943820256531325e+02
9.099999999999999645e+00 1.043536372427361982e+02
9.200000000000001066e+00 1.044852128841840369e+02
9.300000000000000711e+00 1.044814714283207877e+02
9.400000000000000355e+00 1.043346381315564741e+02
9.500000000000000000e+00 1.040368161583842550e+02
9.600000000000001421e+00 1.035800024967875999e+02
9.700000000000001066e+00 1.029561045635656171e+02
9.800000000000000711e+00 1.021569573965977895e+02
9.900000000000000355e+00 1.011743413246421284e+02
1.000000000000000000e+01 1.000000000000000000e+02
