t = 2.780000
x    u(x,t)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 5.441478159579458129e-01
2.000000000000000111e-01 1.089252707464924752e+00
3.000000000000000444e-01 1.636268304249455019e+00
4.000000000000000222e-01 2.186141381654977067e+00
5.000000000000000000e-01 2.739808525914342763e+00
6.000000000000000888e-01 3.298192908517719069e+00
7.000000000000000666e-01 3.862201202977030068e+00
8.000000000000000444e-01 4.432720674765040059e+00
9.000000000000000222e-01 5.010616472170733360e+00
1.000000000000000000e+00 5.596729142339146534e+00
1.100000000000000089e+00 6.191872392936561553e+00
1.200000000000000178e+00 6.796831115791500011e+00
1.300000000000000044e+00 7.412359684602377818e+00
1.400000000000000133e+00 8.039180534469579698e+00
1.500000000000000000e+00 8.677983026696585611e+00
1.600000000000000089e+00 9.329422598101338338e+00
1.700000000000000178e+00 9.994120190067611986e+00
1.800000000000000044e+00 1.067266194882078345e+01
1.900000000000000133e+00 1.136559918499593813e+01
2.000000000000000000e+00 1.207344857752994649e+01
2.100000000000000089e+00 1.279669260429113642e+01
2.200000000000000178e+00 1.353578017968487757e+01
2.300000000000000266e+00 1.429112747775251080e+01
2.400000000000000355e+00 1.506311891801213676e+01
2.500000000000000000e+00 1.585210829045870895e+01
2.600000000000000089e+00 1.665841999572211307e+01
2.700000000000000178e+00 1.748235037633894251e+01
2.800000000000000266e+00 1.832416911538291870e+01
2.900000000000000355e+00 1.918412067926801612e+01
3.000000000000000000e+00 2.006242578233112539e+01
3.100000000000000089e+00 2.095928285175709149e+01
3.200000000000000178e+00 2.187486947246566160e+01
3.300000000000000266e+00 2.280934379267520029e+01
3.400000000000000355e+00 2.376284587193003972e+01
3.500000000000000000e+00 2.473549895436896406e+01
3.600000000000000089e+00 2.572741065086598766e+01
3.700000000000000178e+00 2.673867401434160485e+01
3.800000000000000266e+00 2.776936849297927168e+01
3.900000000000000355e+00 2.881956074624952180e+01
4.000000000000000000e+00 2.988930530851462208e+01
4.100000000000000533e+00 3.097864508453670496e+01
4.200000000000000178e+00 3.208761166043094448e+01
4.299999999999999822e+00 3.321622541248722627e+01
4.400000000000000355e+00 3.436449539483768234e+01
4.500000000000000000e+00 3.553241898518984243e+01
4.600000000000000533e+00 3.671998126580464827e+01
4.700000000000000178e+00 3.792715411461649211e+01
4.800000000000000711e+00 3.915389497892131487e+01
4.900000000000000355e+00 4.040014530146381588e+01
5.000000000000000000e+00 4.166582856611604058e+01
5.100000000000000533e+00 4.295084792774738958e+01
5.200000000000000178e+00 4.425508338844672096e+01
5.300000000000000711e+00 4.557838848008680088e+01
5.400000000000000355e+00 4.692058641145031572e+01
5.500000000000000000e+00 4.828146563690238224e+01
5.600000000000000533e+00 4.966077480304590352e+01
5.700000000000000178e+00 5.105821703008501800e+01
5.800000000000000711e+00 5.247344348590335272e+01
5.900000000000000355e+00 5.390604621329174506e+01
6.000000000000000000e+00 5.535555017448114512e+01
6.100000000000000533e+00 5.682140448228629026e+01
6.200000000000000178e+00 5.830297279386212495e+01
6.300000000000000711e+00 5.979952285141290247e+01
6.400000000000000355e+00 6.131021516423626849e+01
6.500000000000000000e+00 6.283409083826197161e+01
6.600000000000000533e+00 6.437005857273742038e+01
6.700000000000000178e+00 6.591688085886048043e+01
6.800000000000000711e+00 6.747315943184206333e+01
6.900000000000000355e+00 6.903732004592264104e+01
7.000000000000000000e+00 7.060759666103045618e+01
7.100000000000000533e+00 7.218201514975730504e+01
7.200000000000000178e+00 7.375837665378081454e+01
7.300000000000000711e+00 7.533424073936558329e+01
7.400000000000000355e+00 7.690690852166000013e+01
7.500000000000000000e+00 7.847340594666439983e+01
7.600000000000000533e+00 8.003046743743111335e+01
7.700000000000000178e+00 8.157452012670914598e+01
7.800000000000000711e+00 8.310166891129409805e+01
7.900000000000000355e+00 8.460768257323148589e+01
8.000000000000000000e+00 8.608798121922396263e+01
8.099999999999999645e+00 8.753762529162655426e+01
8.200000000000001066e+00 8.895130640187218773e+01
8.300000000000000711e+00 9.032334022972348464e+01
8.400000000000000355e+00 9.164766171917261772e+01
8.500000000000000000e+00 9.291782278400332018e+01
8.599999999999999645e+00 9.412699271301192994e+01
8.700000000000001066e+00 9.526796143681488616e+01
8.800000000000000711e+00 9.633314578535693329e+01
8.900000000000000355e+00 9.731459882811998341e+01
9.000000000000000000e+00 9.820402234820221565e+01
9.099999999999999645e+00 9.899278245760541495e+01
9.200000000000001066e+00 9.967192831505863637e+01
9.300000000000000711e+00 1.002322138604427835e+02
9.400000000000000355e+00 1.006641224323554837e+02
9.500000000000000000e+00 1.009578940886088105e+02
9.600000000000001421e+00 1.011035554045410265e+02
9.700000000000001066e+00 1.010909514819871475e+02
9.800000000000000711e+00 1.009097798635924903e+02
9.900000000000000355e+00 1.005496260137883269e+02
1.000000000000000000e+01 1.000000000000000000e+02
