t = 2.820000
x    u(x,t)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 5.500545645209113932e-01
2.000000000000000111e-01 1.101059392531179126e+00
3.000000000000000444e-01 1.653961374782307647e+00
4.000000000000000222e-01 2.209700692496177510e+00
5.000000000000000000e-01 2.769207551825349611e+00
6.000000000000000888e-01 3.333399023607173994e+00
7.000000000000000666e-01 3.903176020596291096e+00
8.000000000000000444e-01 4.479420441955727306e+00
9.000000000000000222e-01 5.062992511893792624e+00
1.000000000000000000e+00 5.654728336022031954e+00
1.100000000000000089e+00 6.255437695357013439e+00
1.200000000000000178e+00 6.865902093980851717e+00
1.300000000000000044e+00 7.486873072300685550e+00
1.400000000000000133e+00 8.119070793696089083e+00
1.500000000000000000e+00 8.763182908203942745e+00
1.600000000000000089e+00 9.419863692847680881e+00
1.700000000000000178e+00 1.008973346435002227e+01
1.800000000000000044e+00 1.077337825634641177e+01
1.900000000000000133e+00 1.147134974989991818e+01
2.000000000000000000e+00 1.218416544315732608e+01
2.100000000000000089e+00 1.291230904341732177e+01
2.200000000000000178e+00 1.365623106272951581e+01
2.300000000000000266e+00 1.441634959641972813e+01
2.400000000000000355e+00 1.519305126264140782e+01
2.500000000000000000e+00 1.598669228017334198e+01
2.600000000000000089e+00 1.679759966119619463e+01
2.700000000000000178e+00 1.762607249565207468e+01
2.800000000000000266e+00 1.847238330398126038e+01
2.900000000000000355e+00 1.933677943548913802e+01
3.000000000000000000e+00 2.021948449027245687e+01
3.100000000000000089e+00 2.112069974346862011e+01
3.200000000000000178e+00 2.204060555152664591e+01
3.300000000000000266e+00 2.297936272117415868e+01
3.400000000000000355e+00 2.393711382271179389e+01
3.500000000000000000e+00 2.491398443014954367e+01
3.600000000000000089e+00 2.591008427145554194e+01
3.700000000000000178e+00 2.692550827276822289e+01
3.800000000000000266e+00 2.796033748078648529e+01
3.900000000000000355e+00 2.901463984766196802e+01
4.000000000000000000e+00 3.008847086254615633e+01
4.100000000000000533e+00 3.118187401347124776e+01
4.200000000000000178e+00 3.229488106245657519e+01
4.299999999999999822e+00 3.342751211562983826e+01
4.400000000000000355e+00 3.457977546874194985e+01
4.500000000000000000e+00 3.575166720675579768e+01
4.600000000000000533e+00 3.694317053423087316e+01
4.700000000000000178e+00 3.815425481105003058e+01
4.800000000000000711e+00 3.938487426569594163e+01
4.900000000000000355e+00 4.063496635584687056e+01
5.000000000000000000e+00 4.190444974360658392e+01
5.100000000000000533e+00 4.319322185029881922e+01
5.200000000000000178e+00 4.450115595355075016e+01
5.300000000000000711e+00 4.582809778747368057e+01
5.400000000000000355e+00 4.717386160525219907e+01
5.500000000000000000e+00 4.853822566250752146e+01
5.600000000000000533e+00 4.992092707955053044e+01
5.700000000000000178e+00 5.132165604123063218e+01
5.800000000000000711e+00 5.274004929466481428e+01
5.900000000000000355e+00 5.417568290784185336e+01
6.000000000000000000e+00 5.562806425607666938e+01
6.100000000000000533e+00 5.709662320866186747e+01
6.200000000000000178e+00 5.858070249493594162e+01
6.300000000000000711e+00 6.007954723743927161e+01
6.400000000000000355e+00 6.159229364991470135e+01
6.500000000000000000e+00 6.311795690964246575e+01
6.600000000000000533e+00 6.465541822695401208e+01
6.700000000000000178e+00 6.620341114967219198e+01
6.800000000000000711e+00 6.776050715654993439e+01
6.900000000000000355e+00 6.932510061134658486e+01
7.000000000000000000e+00 7.089539316775021405e+01
7.100000000000000533e+00 7.246937773463329791e+01
7.200000000000000178e+00 7.404482213076254027e+01
7.300000000000000711e+00 7.561925257767020980e+01
7.400000000000000355e+00 7.718993719848081980e+01
7.500000000000000000e+00 7.875386970858600932e+01
7.600000000000000533e+00 8.030775350065056273e+01
7.700000000000000178e+00 8.184798634098352466e+01
7.800000000000000711e+00 8.337064590627977623e+01
7.900000000000000355e+00 8.487147639861183279e+01
8.000000000000000000e+00 8.634587648183389774e+01
8.099999999999999645e+00 8.778888878381060579e+01
8.200000000000001066e+00 8.919519120572364557e+01
8.300000000000000711e+00 9.055909027184651450e+01
8.400000000000000355e+00 9.187451674041652439e+01
8.500000000000000000e+00 9.313502367848852259e+01
8.599999999999999645e+00 9.433378718096911086e+01
8.700000000000001066e+00 9.546360988656776669e+01
8.800000000000000711e+00 9.651692741147000731e+01
8.900000000000000355e+00 9.748581778557117161e+01
9.000000000000000000e+00 9.836201393667421655e+01
9.099999999999999645e+00 9.913691922583520011e+01
9.200000000000001066e+00 9.980162599282620306e+01
9.300000000000000711e+00 1.003469370253521333e+02
9.400000000000000355e+00 1.007633898201517155e+02
9.500000000000000000e+00 1.010412834594129379e+02
9.600000000000001421e+00 1.011707078830417856e+02
9.700000000000001066e+00 1.011415752972177842e+02
9.800000000000000711e+00 1.009436534232933269e+02
9.900000000000000355e+00 1.005666002593115849e+02
1.000000000000000000e+01 1.000000000000000000e+02
