t = 6.870000
x    u(x,t)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 1.104932705882353039e+00
2.000000000000000111e-01 2.210464797015188498e+00
3.000000000000000444e-01 3.317194587893574909e+00
4.000000000000000222e-01 4.425718252877429038e+00
5.000000000000000000e-01 5.536628759519450327e+00
6.000000000000000888e-01 6.650514805845804567e+00
7.000000000000000666e-01 7.767959762705264559e+00
8.000000000000000444e-01 8.889540622131944403e+00
9.000000000000000222e-01 1.001582695245652133e+01
1.000000000000000000e+00 1.114737986065315667e+01
1.100000000000000089e+00 1.228475096212623541e+01
1.200000000000000178e+00 1.342848135782567098e+01
1.300000000000000044e+00 1.457910061823458570e+01
1.400000000000000133e+00 1.573712577340251606e+01
1.500000000000000000e+00 1.690306030780401869e+01
1.600000000000000089e+00 1.807739315839164362e+01
1.700000000000000178e+00 1.926059771378670860e+01
1.800000000000000044e+00 2.045313081211698503e+01
1.900000000000000133e+00 2.165543173457112758e+01
2.000000000000000000e+00 2.286792119130059220e+01
2.100000000000000089e+00 2.409100029586662117e+01
2.200000000000000178e+00 2.532504952400656961e+01
2.300000000000000266e+00 2.657042765208741741e+01
2.400000000000000355e+00 2.782747067022855703e+01
2.500000000000000000e+00 2.909649066471774148e+01
2.600000000000000089e+00 3.037777466401779236e+01
2.700000000000000178e+00 3.167158344237352807e+01
2.800000000000000266e+00 3.297815027478370098e+01
2.900000000000000355e+00 3.429767963690600396e+01
3.000000000000000000e+00 3.563034584332107357e+01
3.100000000000000089e+00 3.697629161749728866e+01
3.200000000000000178e+00 3.833562658677809765e+01
3.300000000000000266e+00 3.970842569576132064e+01
3.400000000000000355e+00 4.109472753155944247e+01
3.500000000000000000e+00 4.249453255462602641e+01
3.600000000000000089e+00 4.390780122910835814e+01
3.700000000000000178e+00 4.533445204704367626e+01
3.800000000000000266e+00 4.677435944115830324e+01
3.900000000000000355e+00 4.822735158155726509e+01
4.000000000000000000e+00 4.969320805220724679e+01
4.100000000000000533e+00 5.117165740381980754e+01
4.200000000000000178e+00 5.266237458053230114e+01
4.299999999999999822e+00 5.416497821866201434e+01
4.400000000000000355e+00 5.567902781677032920e+01
4.500000000000000000e+00 5.720402077731796453e+01
4.600000000000000533e+00 5.873938932131340351e+01
4.700000000000000178e+00 6.028449727855056040e+01
4.800000000000000711e+00 6.183863675729425324e+01
4.900000000000000355e+00 6.340102469859343870e+01
5.000000000000000000e+00 6.497079932177744865e+01
5.100000000000000533e+00 6.654701646910893942e+01
5.200000000000000178e+00 6.812864585902077863e+01
5.300000000000000711e+00 6.971456725884024763e+01
5.400000000000000355e+00 7.130356658939221859e+01
5.500000000000000000e+00 7.289433197536075681e+01
5.600000000000000533e+00 7.448544975676217916e+01
5.700000000000000178e+00 7.607540047832856089e+01
5.800000000000000711e+00 7.766255487500383481e+01
5.900000000000000355e+00 7.924516987310033755e+01
6.000000000000000000e+00 8.082138462793693634e+01
6.100000000000000533e+00 8.238921661996403145e+01
6.200000000000000178e+00 8.394655783246177805e+01
6.300000000000000711e+00 8.549117103485895086e+01
6.400000000000000355e+00 8.702068619654613713e+01
6.500000000000000000e+00 8.853259705673556823e+01
6.600000000000000533e+00 9.002425787643394983e+01
6.700000000000000178e+00 9.149288039893411906e+01
6.800000000000000711e+00 9.293553104538246146e+01
6.900000000000000355e+00 9.434912837193188295e+01
7.000000000000000000e+00 9.573044081473652511e+01
7.100000000000000533e+00 9.707608474857501335e+01
7.200000000000000178e+00 9.838252288420046909e+01
7.300000000000000711e+00 9.964606302860265430e+01
7.400000000000000355e+00 1.008628572312295972e+02
7.500000000000000000e+00 1.020289013378546343e+02
7.600000000000000533e+00 1.031400349721903495e+02
7.700000000000000178e+00 1.041919419635530204e+02
7.800000000000000711e+00 1.051801512368741527e+02
7.900000000000000355e+00 1.061000381791516247e+02
8.000000000000000000e+00 1.069468264940446147e+02
8.099999999999999645e+00 1.077155905537586733e+02
8.200000000000001066e+00 1.084012582546569803e+02
8.300000000000000711e+00 1.089986143801922225e+02
8.400000000000000355e+00 1.095023044717983538e+02
8.500000000000000000e+00 1.099068392053399492e+02
8.599999999999999645e+00 1.102065992676130435e+02
8.700000000000001066e+00 1.103958407242473356e+02
8.800000000000000711e+00 1.104687008672072466e+02
8.900000000000000355e+00 1.104192045269551699e+02
9.000000000000000000e+00 1.102412708312494942e+02
9.099999999999999645e+00 1.099287203895355418e+02
9.200000000000001066e+00 1.094752828789744967e+02
9.300000000000000711e+00 1.088746050053718335e+02
9.400000000000000355e+00 1.081202588096400063e+02
9.500000000000000000e+00 1.072057502879850546e+02
9.600000000000001421e+00 1.061245282917681578e+02
9.700000000000001066e+00 1.048699936709820975e+02
9.800000000000000711e+00 1.034355086235193539e+02
9.900000000000000355e+00 1.018144062109109456e+02
1.000000000000000000e+01 1.000000000000000000e+02
