t = 0.580000
x    u(x,t)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 -2.908893024962547723e-03
2.000000000000000111e-01 -1.366392746356424534e-02
3.000000000000000444e-01 -2.744419702199353897e-02
4.000000000000000222e-01 -3.828567750786633639e-02
5.000000000000000000e-01 -4.136508059779282764e-02
6.000000000000000888e-01 -3.484751337778083796e-02
7.000000000000000666e-01 -2.059207595435864208e-02
8.000000000000000444e-01 -3.445783689083093976e-03
9.000000000000000222e-01 1.060455866575321128e-02
1.000000000000000000e+00 1.671664975534119593e-02
1.100000000000000089e+00 1.304063893532086960e-02
1.200000000000000178e+00 1.424856200751490687e-03
1.300000000000000044e+00 -1.329028460788475585e-02
1.400000000000000133e+00 -2.512057040690074058e-02
1.500000000000000000e+00 -2.922256219414262959e-02
1.600000000000000089e+00 -2.374192210168449280e-02
1.700000000000000178e+00 -1.051959675980531153e-02
1.800000000000000044e+00 5.613778986699001841e-03
1.900000000000000133e+00 1.868564513958552789e-02
2.000000000000000000e+00 2.386557131082515590e-02
2.100000000000000089e+00 1.931308902668263383e-02
2.200000000000000178e+00 6.883421024207959232e-03
2.300000000000000266e+00 -8.578515929026168593e-03
2.400000000000000355e+00 -2.108621377789620180e-02
2.500000000000000000e+00 -2.579590257957206645e-02
2.600000000000000089e+00 -2.085459231082218562e-02
2.700000000000000178e+00 -8.105949560248019298e-03
2.800000000000000266e+00 7.615608944870315075e-03
2.900000000000000355e+00 2.033297799070476336e-02
3.000000000000000000e+00 2.521069377991191213e-02
3.100000000000000089e+00 2.040300948870715433e-02
3.200000000000000178e+00 7.759830800530838346e-03
3.300000000000000266e+00 -7.879114199284862480e-03
3.400000000000000355e+00 -2.053224948191582563e-02
3.500000000000000000e+00 -2.536038863252552261e-02
3.600000000000000089e+00 -2.051471749433513708e-02
3.700000000000000178e+00 -7.842639732173575448e-03
3.800000000000000266e+00 7.818137789826672124e-03
3.900000000000000355e+00 2.048765690825901653e-02
4.000000000000000000e+00 2.532801521820188251e-02
4.100000000000000533e+00 2.049141003004428113e-02
4.200000000000000178e+00 7.826037303281734026e-03
4.299999999999999822e+00 -7.829776923731657234e-03
4.400000000000000355e+00 -2.049558878514394847e-02
4.500000000000000000e+00 -2.533310925650612833e-02
4.600000000000000533e+00 -2.049421764233322341e-02
4.700000000000000178e+00 -7.826832424495314480e-03
4.800000000000000711e+00 7.830984771642394981e-03
4.900000000000000355e+00 2.049907032239618732e-02
5.000000000000000000e+00 2.533946403789209129e-02
5.100000000000000533e+00 2.050446224062683551e-02
5.200000000000000178e+00 7.842538677616866724e-03
5.300000000000000711e+00 -7.807486442228398632e-03
5.400000000000000355e+00 -2.046440185260182953e-02
5.500000000000000000e+00 -2.528879719444194693e-02
5.600000000000000533e+00 -2.043096615632502763e-02
5.700000000000000178e+00 -7.736630246212375557e-03
5.800000000000000711e+00 7.959149524036219364e-03
5.900000000000000355e+00 2.068026114923628145e-02
6.000000000000000000e+00 2.559416069936740548e-02
6.100000000000000533e+00 2.086031755356428444e-02
6.200000000000000178e+00 8.336618845904213496e-03
6.300000000000000711e+00 -7.125873820902755076e-03
6.400000000000000355e+00 -1.953017630528237902e-02
6.500000000000000000e+00 -2.401674543884279797e-02
6.600000000000000533e+00 -1.871042378301416773e-02
6.700000000000000178e+00 -5.425076493030431615e-03
6.800000000000000711e+00 1.104370218034672613e-02
6.900000000000000355e+00 2.476817902890653469e-02
7.000000000000000000e+00 3.097446277138725043e-02
7.100000000000000533e+00 2.789231788499462947e-02
7.200000000000000178e+00 1.746287157026467710e-02
7.300000000000000711e+00 4.634513083746955378e-03
7.400000000000000355e+00 -4.483490540783172280e-03
7.500000000000000000e+00 -4.903900239733336580e-03
7.600000000000000533e+00 5.391446953132449961e-03
7.700000000000000178e+00 2.474617497615610659e-02
7.800000000000000711e+00 4.853495035976685551e-02
7.900000000000000355e+00 7.101032153437215888e-02
8.000000000000000000e+00 8.758478083202816955e-02
8.099999999999999645e+00 9.667540234816601741e-02
8.200000000000001066e+00 1.004050839353144292e-01
8.300000000000000711e+00 1.038907345528588821e-01
8.400000000000000355e+00 1.133880617854714223e-01
8.500000000000000000e+00 1.339989524467652682e-01
8.599999999999999645e+00 1.678141616683156145e-01
8.700000000000001066e+00 2.131974780508110179e-01
8.800000000000000711e+00 2.654813572363465268e-01
8.900000000000000355e+00 3.188048426811963543e-01
9.000000000000000000e+00 3.683883868126702210e-01
9.099999999999999645e+00 4.123735775287986072e-01
9.200000000000001066e+00 4.525224079345846473e-01
9.300000000000000711e+00 4.935069483116449884e-01
9.400000000000000355e+00 5.410594513202081624e-01
9.500000000000000000e+00 5.996890725714258963e-01
9.600000000000001421e+00 6.708378878198270057e-01
9.700000000000001066e+00 7.521820937351286762e-01
9.800000000000000711e+00 8.383478513130139254e-01
9.900000000000000355e+00 9.227718177192230087e-01
1.000000000000000000e+01 1.000000000000000000e+00
