t = 2.630000
x    u(x,t)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 5.218724557282925502e-01
2.000000000000000111e-01 1.044728901555503908e+00
3.000000000000000444e-01 1.569549582651760034e+00
4.000000000000000222e-01 2.097307297137865234e+00
5.000000000000000000e-01 2.628963778764326076e+00
6.000000000000000888e-01 3.165466204769105119e+00
7.000000000000000666e-01 3.707743866928872922e+00
8.000000000000000444e-01 4.256705040764339643e+00
9.000000000000000222e-01 4.813234084196106544e+00
1.000000000000000000e+00 5.378188792768200166e+00
1.100000000000000089e+00 5.952398033968067104e+00
1.200000000000000178e+00 6.536659678288873287e+00
1.300000000000000044e+00 7.131738839620901160e+00
1.400000000000000133e+00 7.738366432443392284e+00
1.500000000000000000e+00 8.357238048232218830e+00
1.600000000000000089e+00 8.989013148612725601e+00
1.700000000000000178e+00 9.634314568170873727e+00
1.800000000000000044e+00 1.029372831557826018e+01
1.900000000000000133e+00 1.096780365786104738e+01
2.000000000000000000e+00 1.165705346930802477e+01
2.100000000000000089e+00 1.236195482371024035e+01
2.200000000000000178e+00 1.308294980637773186e+01
2.300000000000000266e+00 1.382044652069582824e+01
2.400000000000000355e+00 1.457482026285481425e+01
2.500000000000000000e+00 1.534641483778898952e+01
2.600000000000000089e+00 1.613554398925660394e+01
2.700000000000000178e+00 1.694249291733193274e+01
2.800000000000000266e+00 1.776751985730663819e+01
2.900000000000000355e+00 1.861085769504295584e+01
3.000000000000000000e+00 1.947271559511580818e+01
3.100000000000000089e+00 2.035328061954995960e+01
3.200000000000000178e+00 2.125271931652682511e+01
3.300000000000000266e+00 2.217117926002933359e+01
3.400000000000000355e+00 2.310879052293983804e+01
3.500000000000000000e+00 2.406566706753836371e+01
3.600000000000000089e+00 2.504190803860276660e+01
3.700000000000000178e+00 2.603759894533255448e+01
3.800000000000000266e+00 2.705281271905382923e+01
3.900000000000000355e+00 2.808761063407208169e+01
4.000000000000000000e+00 2.914204307908782354e+01
4.100000000000000533e+00 3.021615016625204220e+01
4.200000000000000178e+00 3.130996216419658751e+01
4.299999999999999822e+00 3.242349974022257442e+01
4.400000000000000355e+00 3.355677399526844340e+01
4.500000000000000000e+00 3.470978627332360844e+01
4.600000000000000533e+00 3.588252772462501383e+01
4.700000000000000178e+00 3.707497859931015682e+01
4.800000000000000711e+00 3.828710724524840003e+01
4.900000000000000355e+00 3.951886878059460884e+01
5.000000000000000000e+00 4.077020340828173772e+01
5.100000000000000533e+00 4.204103433628166187e+01
5.200000000000000178e+00 4.333126526412418400e+01
5.300000000000000711e+00 4.464077739299290215e+01
5.400000000000000355e+00 4.596942591385170829e+01
5.500000000000000000e+00 4.731703592564959848e+01
5.600000000000000533e+00 4.868339773386750835e+01
5.700000000000000178e+00 5.006826147868844856e+01
5.800000000000000711e+00 5.147133104207312471e+01
5.900000000000000355e+00 5.289225718419827871e+01
6.000000000000000000e+00 5.433062986225289848e+01
6.100000000000000533e+00 5.578596968866906280e+01
6.200000000000000178e+00 5.725771849166051908e+01
6.300000000000000711e+00 5.874522894860129441e+01
6.400000000000000355e+00 6.024775327241823675e+01
6.500000000000000000e+00 6.176443094288156033e+01
6.600000000000000533e+00 6.329427548848952512e+01
6.700000000000000178e+00 6.483616034054570321e+01
6.800000000000000711e+00 6.638880379893682004e+01
6.900000000000000355e+00 6.795075316889234784e+01
7.000000000000000000e+00 6.952036814942030674e+01
7.100000000000000533e+00 7.109580357686868979e+01
7.200000000000000178e+00 7.267499165078169199e+01
7.300000000000000711e+00 7.425562379344839314e+01
7.400000000000000355e+00 7.583513231875207339e+01
7.500000000000000000e+00 7.741067210952935795e+01
7.600000000000000533e+00 7.897910252499237060e+01
7.700000000000000178e+00 8.053696978017212871e+01
7.800000000000000711e+00 8.208049005709712276e+01
7.900000000000000355e+00 8.360553362182351123e+01
8.000000000000000000e+00 8.510761023179317419e+01
8.099999999999999645e+00 8.658185612367273620e+01
8.200000000000001066e+00 8.802302287224983957e+01
8.300000000000000711e+00 8.942546840565537991e+01
8.400000000000000355e+00 9.078315045078446133e+01
8.500000000000000000e+00 9.208962266508724781e+01
8.599999999999999645e+00 9.333803368683429369e+01
8.700000000000001066e+00 9.452112930563997395e+01
8.800000000000000711e+00 9.563125791874746540e+01
8.900000000000000355e+00 9.666037939681473290e+01
9.000000000000000000e+00 9.760007743635200939e+01
9.099999999999999645e+00 9.844157542537573136e+01
9.200000000000001066e+00 9.917575579524327622e+01
9.300000000000000711e+00 9.979318277613222676e+01
9.400000000000000355e+00 1.002841284174433554e+02
9.500000000000000000e+00 1.006386016788238749e+02
9.600000000000001421e+00 1.008463803438444302e+02
9.700000000000001066e+00 1.008970454579299769e+02
9.800000000000000711e+00 1.007800179461989387e+02
9.900000000000000355e+00 1.004845970265806585e+02
1.000000000000000000e+01 1.000000000000000000e+02
