t = 2.040000
x    u(x,t)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 4.320148097803368503e-01
2.000000000000000111e-01 8.651468755352067497e-01
3.000000000000000444e-01 1.300507969925665863e+00
4.000000000000000222e-01 1.739198979849136073e+00
5.000000000000000000e-01 2.182304663725187943e+00
6.000000000000000888e-01 2.630888643477217848e+00
7.000000000000000666e-01 3.085988700469690649e+00
8.000000000000000444e-01 3.548612437366843508e+00
9.000000000000000222e-01 4.019733359236776771e+00
1.000000000000000000e+00 4.500287417520572930e+00
1.100000000000000089e+00 4.991170050033802319e+00
1.200000000000000178e+00 5.493233739297163076e+00
1.300000000000000044e+00 6.007286100535615070e+00
1.400000000000000133e+00 6.534088499962118490e+00
1.500000000000000000e+00 7.074355193770517580e+00
1.600000000000000089e+00 7.628752968867370754e+00
1.700000000000000178e+00 8.197901257997102675e+00
1.800000000000000044e+00 8.782372694734725371e+00
1.900000000000000133e+00 9.382694067958873063e+00
2.000000000000000000e+00 9.999347630946598287e+00
2.100000000000000089e+00 1.063277271716985872e+01
2.200000000000000178e+00 1.128336761319267545e+01
2.300000000000000266e+00 1.195149163869588271e+01
2.400000000000000355e+00 1.263746738448315554e+01
2.500000000000000000e+00 1.334158306120914261e+01
2.600000000000000089e+00 1.406409491435665338e+01
2.700000000000000178e+00 1.480522966450051214e+01
2.800000000000000266e+00 1.556518693595014469e+01
2.900000000000000355e+00 1.634414164128087066e+01
3.000000000000000000e+00 1.714224629387314636e+01
3.100000000000000089e+00 1.795963322521870964e+01
3.200000000000000178e+00 1.879641668827838430e+01
3.300000000000000266e+00 1.965269483246263249e+01
3.400000000000000355e+00 2.052855153974683589e+01
3.500000000000000000e+00 2.142405811494352719e+01
3.600000000000000089e+00 2.233927482616753579e+01
3.700000000000000178e+00 2.327425229399873530e+01
3.800000000000000266e+00 2.422903272973931621e+01
3.900000000000000355e+00 2.520365102445726180e+01
4.000000000000000000e+00 2.619813569119754604e+01
4.100000000000000533e+00 2.721250966282311978e+01
4.200000000000000178e+00 2.824679094742300478e+01
4.299999999999999822e+00 2.930099314209783046e+01
4.400000000000000355e+00 3.037512580420863983e+01
4.500000000000000000e+00 3.146919467685710714e+01
4.600000000000000533e+00 3.258320176245515398e+01
4.700000000000000178e+00 3.371714523474140179e+01
4.800000000000000711e+00 3.487101917551225938e+01
4.900000000000000355e+00 3.604481311765912466e+01
5.000000000000000000e+00 3.723851137085090102e+01
5.100000000000000533e+00 3.845209210038942871e+01
5.200000000000000178e+00 3.968552612342801211e+01
5.300000000000000711e+00 4.093877537993040505e+01
5.400000000000000355e+00 4.221179102853632514e+01
5.500000000000000000e+00 4.350451110999726012e+01
5.600000000000000533e+00 4.481685771319553169e+01
5.700000000000000178e+00 4.614873357114824159e+01
5.800000000000000711e+00 4.750001800705602761e+01
5.900000000000000355e+00 4.887056214366687357e+01
6.000000000000000000e+00 5.026018328332093432e+01
6.100000000000000533e+00 5.166865836140291179e+01
6.200000000000000178e+00 5.309571637298275704e+01
6.300000000000000711e+00 5.454102967163661475e+01
6.400000000000000355e+00 5.600420404129902607e+01
6.500000000000000000e+00 5.748476744700731444e+01
6.600000000000000533e+00 5.898215737905161404e+01
6.700000000000000178e+00 6.049570671780402620e+01
6.800000000000000711e+00 6.202462806377015880e+01
6.900000000000000355e+00 6.356799649950520603e+01
7.000000000000000000e+00 6.512473077716259695e+01
7.100000000000000533e+00 6.669357295764795879e+01
7.200000000000000178e+00 6.827306656450498679e+01
7.300000000000000711e+00 6.986153335742817205e+01
7.400000000000000355e+00 7.145704887611914558e+01
7.500000000000000000e+00 7.305741695427552429e+01
7.600000000000000533e+00 7.466014345477113068e+01
7.700000000000000178e+00 7.626240952926659133e+01
7.800000000000000711e+00 7.786104475706176231e+01
7.900000000000000355e+00 7.945250056726260368e+01
8.000000000000000000e+00 8.103282439343313115e+01
8.099999999999999645e+00 8.259763504889427566e+01
8.200000000000001066e+00 8.414209984176032719e+01
8.300000000000000711e+00 8.566091396976790406e+01
8.400000000000000355e+00 8.714828274420159460e+01
8.500000000000000000e+00 8.859790718823728639e+01
8.599999999999999645e+00 9.000297353661876798e+01
8.700000000000001066e+00 9.135614712996392939e+01
8.800000000000000711e+00 9.264957114785519821e+01
8.900000000000000355e+00 9.387487056042523648e+01
9.000000000000000000e+00 9.502316159918605365e+01
9.099999999999999645e+00 9.608506695573919387e+01
9.200000000000001066e+00 9.705073681367125005e+01
9.300000000000000711e+00 9.790987570683996921e+01
9.400000000000000355e+00 9.865177507930640388e+01
9.500000000000000000e+00 9.926535130164018028e+01
9.600000000000001421e+00 9.973918877875154010e+01
9.700000000000001066e+00 1.000615876694304944e+02
9.800000000000000711e+00 1.002206156310272007e+02
9.900000000000000355e+00 1.002041629076465910e+02
1.000000000000000000e+01 1.000000000000000000e+02
