t = 2.210000
x    u(x,t)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 4.583178401261412960e-01
2.000000000000000111e-01 9.177091059027985276e-01
3.000000000000000444e-01 1.379242360463452055e+00
4.000000000000000222e-01 1.843976508085631627e+00
5.000000000000000000e-01 2.312956128704863890e+00
6.000000000000000888e-01 2.787207004997330984e+00
7.000000000000000666e-01 3.267731899426506992e+00
8.000000000000000444e-01 3.755506633102593472e+00
9.000000000000000222e-01 4.251476511703766725e+00
1.000000000000000000e+00 4.756553136257216430e+00
1.100000000000000089e+00 5.271611628499459634e+00
1.200000000000000178e+00 5.797488292066474536e+00
1.300000000000000044e+00 6.334978722145681473e+00
1.400000000000000133e+00 6.884836367690298609e+00
1.500000000000000000e+00 7.447771542075271256e+00
1.600000000000000089e+00 8.024450870366344191e+00
1.700000000000000178e+00 8.615497154356134502e+00
1.800000000000000044e+00 9.221489630338933097e+00
1.900000000000000133e+00 9.842964589359331384e+00
2.000000000000000000e+00 1.048041632545332824e+01
2.100000000000000089e+00 1.113429837424097002e+01
2.200000000000000178e+00 1.180502500212878658e+01
2.300000000000000266e+00 1.249297290530739701e+01
2.400000000000000355e+00 1.319848307762346096e+01
2.500000000000000000e+00 1.392186280718060942e+01
2.600000000000000089e+00 1.466338776307524405e+01
2.700000000000000178e+00 1.542330413587974824e+01
2.800000000000000266e+00 1.620183079821829253e+01
2.900000000000000355e+00 1.699916145490399799e+01
3.000000000000000000e+00 1.781546675548782588e+01
3.100000000000000089e+00 1.865089634557844178e+01
3.200000000000000178e+00 1.950558083680695276e+01
3.300000000000000266e+00 2.037963367871899933e+01
3.400000000000000355e+00 2.127315291907857642e+01
3.500000000000000000e+00 2.218622284197748940e+01
3.600000000000000089e+00 2.311891547568701455e+01
3.700000000000000178e+00 2.407129196430384610e+01
3.800000000000000266e+00 2.504340379888332535e+01
3.900000000000000355e+00 2.603529390488042239e+01
4.000000000000000000e+00 2.704699758330742654e+01
4.100000000000000533e+00 2.807854330304547119e+01
4.200000000000000178e+00 2.912995334120404678e+01
4.299999999999999822e+00 3.020124426730047418e+01
4.400000000000000355e+00 3.129242726532800845e+01
4.500000000000000000e+00 3.240350828550018747e+01
4.600000000000000533e+00 3.353448801460554307e+01
4.700000000000000178e+00 3.468536165049412290e+01
4.800000000000000711e+00 3.585611846226415622e+01
4.900000000000000355e+00 3.704674111325026331e+01
5.000000000000000000e+00 3.825720471897312081e+01
5.100000000000000533e+00 3.948747560684612523e+01
5.200000000000000178e+00 4.073750973871783287e+01
5.300000000000000711e+00 4.200725075135034103e+01
5.400000000000000355e+00 4.329662756380857047e+01
5.500000000000000000e+00 4.460555149460842017e+01
5.600000000000000533e+00 4.593391282551559129e+01
5.700000000000000178e+00 4.728157674331163918e+01
5.800000000000000711e+00 4.864837858588869324e+01
5.900000000000000355e+00 5.003411831497607665e+01
6.000000000000000000e+00 5.143855413494743800e+01
6.100000000000000533e+00 5.286139517583744407e+01
6.200000000000000178e+00 5.430229315926862910e+01
6.300000000000000711e+00 5.576083296881353135e+01
6.400000000000000355e+00 5.723652205175919505e+01
6.500000000000000000e+00 5.872877858764859127e+01
6.600000000000000533e+00 6.023691837066012766e+01
6.700000000000000178e+00 6.176014036811857011e+01
6.800000000000000711e+00 6.329751093640097537e+01
6.900000000000000355e+00 6.484794669830870362e+01
7.000000000000000000e+00 6.641019611261413047e+01
7.100000000000000533e+00 6.798281979681001985e+01
7.200000000000000178e+00 6.956416969780117654e+01
7.300000000000000711e+00 7.115236724192753570e+01
7.400000000000000355e+00 7.274528063466954109e+01
7.500000000000000000e+00 7.434050152086587104e+01
7.600000000000000533e+00 7.593532125730747850e+01
7.700000000000000178e+00 7.752670709004415528e+01
7.800000000000000711e+00 7.911127856740441189e+01
7.900000000000000355e+00 8.068528455523868104e+01
8.000000000000000000e+00 8.224458125184268908e+01
8.099999999999999645e+00 8.378461162497812609e+01
8.200000000000001066e+00 8.530038671099752889e+01
8.300000000000000711e+00 8.678646922501178551e+01
8.400000000000000355e+00 8.823695993017634009e+01
8.500000000000000000e+00 8.964548720259827519e+01
8.599999999999999645e+00 9.100520020543197575e+01
8.700000000000001066e+00 9.230876605110444189e+01
8.800000000000000711e+00 9.354837128432467352e+01
8.900000000000000355e+00 9.471572796100133473e+01
9.000000000000000000e+00 9.580208453023944060e+01
9.099999999999999645e+00 9.679824164943212850e+01
9.200000000000001066e+00 9.769457297770588866e+01
9.300000000000000711e+00 9.848105090256365202e+01
9.400000000000000355e+00 9.914727706073828983e+01
9.500000000000000000e+00 9.968251741947507583e+01
9.600000000000001421e+00 1.000757415913113988e+02
9.700000000000001066e+00 1.003156659665637136e+02
9.800000000000000711e+00 1.003908001657739391e+02
9.900000000000000355e+00 1.002894962417716300e+02
1.000000000000000000e+01 1.000000000000000000e+02
