t = 3.570000
x    u(x,t)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 6.585819834383004334e-01
2.000000000000000111e-01 1.318008518002342644e+00
3.000000000000000444e-01 1.979121786135111583e+00
4.000000000000000222e-01 2.642759252759510069e+00
5.000000000000000000e-01 3.309751355848092214e+00
6.000000000000000888e-01 3.980919255399218759e+00
7.000000000000000666e-01 4.657072658988895775e+00
8.000000000000000444e-01 5.339007740985065809e+00
9.000000000000000222e-01 6.027505171196308353e+00
1.000000000000000000e+00 6.723328267203944719e+00
1.100000000000000089e+00 7.427221282922556789e+00
1.200000000000000178e+00 8.139907844079392163e+00
1.300000000000000044e+00 8.862089539329723209e+00
1.400000000000000133e+00 9.594444673666268741e+00
1.500000000000000000e+00 1.033762718866941555e+01
1.600000000000000089e+00 1.109226575201439147e+01
1.700000000000000178e+00 1.185896301653264828e+01
1.800000000000000044e+00 1.263829504704774642e+01
1.900000000000000133e+00 1.343081091119699089e+01
2.000000000000000000e+00 1.423703242853301276e+01
2.100000000000000089e+00 1.505745407039393768e+01
2.200000000000000178e+00 1.589254300135234033e+01
2.300000000000000266e+00 1.674273925151348408e+01
2.400000000000000355e+00 1.760845600753917140e+01
2.500000000000000000e+00 1.849008000902754034e+01
2.600000000000000089e+00 1.938797203577962236e+01
2.700000000000000178e+00 2.030246747052489553e+01
2.800000000000000266e+00 2.123387692085137601e+01
2.900000000000000355e+00 2.218248688337790497e+01
3.000000000000000000e+00 2.314856043260334317e+01
3.100000000000000089e+00 2.413233791635171954e+01
3.200000000000000178e+00 2.513403763928602075e+01
3.300000000000000266e+00 2.615385651556796276e+01
3.400000000000000355e+00 2.719197067137772805e+01
3.500000000000000000e+00 2.824853597765965674e+01
3.600000000000000089e+00 2.932368849311075820e+01
3.700000000000000178e+00 3.041754479706628089e+01
3.800000000000000266e+00 3.153020219155039428e+01
3.900000000000000355e+00 3.266173875134381888e+01
4.000000000000000000e+00 3.381221320047341550e+01
4.100000000000000533e+00 3.498166459305429044e+01
4.200000000000000178e+00 3.617011177592174676e+01
4.299999999999999822e+00 3.737755260999420415e+01
4.400000000000000355e+00 3.860396292682790431e+01
4.500000000000000000e+00 3.984929519638900075e+01
4.600000000000000533e+00 4.111347688170875614e+01
4.700000000000000178e+00 4.239640845584314377e+01
4.800000000000000711e+00 4.369796105647206019e+01
4.900000000000000355e+00 4.501797375359355868e+01
5.000000000000000000e+00 4.635625040614841197e+01
5.100000000000000533e+00 4.771255608410274363e+01
5.200000000000000178e+00 4.908661303358071137e+01
5.300000000000000711e+00 5.047809616413010758e+01
5.400000000000000355e+00 5.188662803917830502e+01
5.500000000000000000e+00 5.331177335324714051e+01
5.600000000000000533e+00 5.475303288259036805e+01
5.700000000000000178e+00 5.620983689963973262e+01
5.800000000000000711e+00 5.768153804602634693e+01
5.900000000000000355e+00 5.916740366400668449e+01
6.000000000000000000e+00 6.066660759187653440e+01
6.100000000000000533e+00 6.217822143539693514e+01
6.200000000000000178e+00 6.370120533436222843e+01
6.300000000000000711e+00 6.523439825117323210e+01
6.400000000000000355e+00 6.677650781658127244e+01
6.500000000000000000e+00 6.832609977656225908e+01
6.600000000000000533e+00 6.988158709346843978e+01
6.700000000000000178e+00 7.144121876406957483e+01
6.800000000000000711e+00 7.300306842669826324e+01
6.900000000000000355e+00 7.456502283930002761e+01
7.000000000000000000e+00 7.612477031958606233e+01
7.100000000000000533e+00 7.767978924750688918e+01
7.200000000000000178e+00 7.922733673871410076e+01
7.300000000000000711e+00 8.076443760534716887e+01
7.400000000000000355e+00 8.228787372716548987e+01
7.500000000000000000e+00 8.379417396153870357e+01
7.600000000000000533e+00 8.527960472490408961e+01
7.700000000000000178e+00 8.674016138081805138e+01
7.800000000000000711e+00 8.817156057048987350e+01
7.900000000000000355e+00 8.956923362054693882e+01
8.000000000000000000e+00 9.092832115961680017e+01
8.099999999999999645e+00 9.224366907003545180e+01
8.200000000000001066e+00 9.350982589355061236e+01
8.300000000000000711e+00 9.472104180027231735e+01
8.400000000000000355e+00 9.587126921836448901e+01
8.500000000000000000e+00 9.695416520814502803e+01
8.599999999999999645e+00 9.796309564849759965e+01
8.700000000000001066e+00 9.889114128595987552e+01
8.800000000000000711e+00 9.973110567775965762e+01
8.900000000000000355e+00 1.004755250396775068e+02
9.000000000000000000e+00 1.011166799882128799e+02
9.099999999999999645e+00 1.016466091444543309e+02
9.200000000000001066e+00 1.020571245446477349e+02
9.300000000000000711e+00 1.023398287800999356e+02
9.400000000000000355e+00 1.024861337671271855e+02
9.500000000000000000e+00 1.024872810266483185e+02
9.600000000000001421e+00 1.023343633331141689e+02
9.700000000000001066e+00 1.020183475741201562e+02
9.800000000000000711e+00 1.015300986456163059e+02
9.900000000000000355e+00 1.008604041934172812e+02
1.000000000000000000e+01 1.000000000000000000e+02
