t = 2.590000
x    u(x,t)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 5.158975642727805511e-01
2.000000000000000111e-01 1.032786687856097396e+00
3.000000000000000444e-01 1.551655097994025567e+00
4.000000000000000222e-01 2.073482902280723295e+00
5.000000000000000000e-01 2.599238889180966794e+00
6.000000000000000888e-01 3.129876958575017909e+00
7.000000000000000666e-01 3.666332721754832491e+00
8.000000000000000444e-01 4.209520307079494650e+00
9.000000000000000222e-01 4.760329403638370316e+00
1.000000000000000000e+00 5.319622570872150291e+00
1.100000000000000089e+00 5.888232837277978859e+00
1.200000000000000178e+00 6.466961606197542345e+00
1.300000000000000044e+00 7.056576881382382815e+00
1.400000000000000133e+00 7.657811819676138221e+00
1.500000000000000000e+00 8.271363612871846627e+00
1.600000000000000089e+00 8.897892695710675426e+00
1.700000000000000178e+00 9.538022272191744477e+00
1.800000000000000044e+00 1.019233814795421189e+01
1.900000000000000133e+00 1.086138885254926123e+01
2.000000000000000000e+00 1.154568603200129928e+01
2.100000000000000089e+00 1.224570508920676914e+01
2.200000000000000178e+00 1.296188604745891304e+01
2.300000000000000266e+00 1.369463461072370336e+01
2.400000000000000355e+00 1.444432339321436132e+01
2.500000000000000000e+00 1.521129329029223776e+01
2.600000000000000089e+00 1.599585496271924256e+01
2.700000000000000178e+00 1.679829040674783158e+01
2.800000000000000266e+00 1.761885458339643051e+01
2.900000000000000355e+00 1.845777708144970219e+01
3.000000000000000000e+00 1.931526379016977657e+01
3.100000000000000089e+00 2.019149855932742810e+01
3.200000000000000178e+00 2.108664482588228495e+01
3.300000000000000266e+00 2.200084718838153464e+01
3.400000000000000355e+00 2.293423291183128043e+01
3.500000000000000000e+00 2.388691334735437977e+01
3.600000000000000089e+00 2.485898525231812073e+01
3.700000000000000178e+00 2.585053199773575372e+01
3.800000000000000266e+00 2.686162465056754201e+01
3.900000000000000355e+00 2.789232291902520089e+01
4.000000000000000000e+00 2.894267594908443186e+01
4.100000000000000533e+00 3.001272296010624885e+01
4.200000000000000178e+00 3.110249370674203107e+01
4.299999999999999822e+00 3.221200875314106327e+01
4.400000000000000355e+00 3.334127954389364845e+01
4.500000000000000000e+00 3.449030825414043022e+01
4.600000000000000533e+00 3.565908739888046597e+01
4.700000000000000178e+00 3.684759917875134505e+01
4.800000000000000711e+00 3.805581453648129298e+01
4.900000000000000355e+00 3.928369189488503821e+01
5.000000000000000000e+00 4.053117554376682108e+01
5.100000000000000533e+00 4.179819363949503241e+01
5.200000000000000178e+00 4.308465577742928332e+01
5.300000000000000711e+00 4.439045009393379360e+01
5.400000000000000355e+00 4.571543985154013967e+01
5.500000000000000000e+00 4.705945945808107922e+01
5.600000000000000533e+00 4.842230986847589236e+01
5.700000000000000178e+00 4.980375331648778570e+01
5.800000000000000711e+00 5.120350732338846456e+01
5.900000000000000355e+00 5.262123793125183369e+01
6.000000000000000000e+00 5.405655211075998068e+01
6.100000000000000533e+00 5.550898929713306984e+01
6.200000000000000178e+00 5.697801201327916942e+01
6.300000000000000711e+00 5.846299554666100562e+01
6.400000000000000355e+00 5.996321665583706562e+01
6.500000000000000000e+00 6.147784129425208732e+01
6.600000000000000533e+00 6.300591135268307141e+01
6.700000000000000178e+00 6.454633043779274715e+01
6.800000000000000711e+00 6.609784872243641018e+01
6.900000000000000355e+00 6.765904692357699446e+01
7.000000000000000000e+00 6.922831948567215932e+01
7.100000000000000533e+00 7.080385707090935909e+01
7.200000000000000178e+00 7.238362848230380564e+01
7.300000000000000711e+00 7.396536217096976884e+01
7.400000000000000355e+00 7.554652750429251284e+01
7.500000000000000000e+00 7.712431599664633097e+01
7.600000000000000533e+00 7.869562272805062264e+01
7.700000000000000178e+00 8.025702819801186649e+01
7.800000000000000711e+00 8.180478088101257583e+01
7.900000000000000355e+00 8.333478076592926698e+01
8.000000000000000000e+00 8.484256417335052447e+01
8.099999999999999645e+00 8.632329015163202257e+01
8.200000000000001066e+00 8.777172875394499840e+01
8.300000000000000711e+00 8.918225149402303487e+01
8.400000000000000355e+00 9.054882426738623735e+01
8.500000000000000000e+00 9.186500300726540047e+01
8.599999999999999645e+00 9.312393232017609535e+01
8.700000000000001066e+00 9.431834731518959813e+01
8.800000000000000711e+00 9.544057880370901614e+01
8.900000000000000355e+00 9.648256200346051514e+01
9.000000000000000000e+00 9.743584883213391379e+01
9.099999999999999645e+00 9.829162382351289295e+01
9.200000000000001066e+00 9.904072364305403653e+01
9.300000000000000711e+00 9.967366012187657986e+01
9.400000000000000355e+00 1.001806466692994064e+02
9.500000000000000000e+00 1.005516278657688787e+02
9.600000000000001421e+00 1.007763119816624453e+02
9.700000000000001066e+00 1.008442061144234145e+02
9.800000000000000711e+00 1.007446535881226310e+02
9.900000000000000355e+00 1.004668732171072634e+02
1.000000000000000000e+01 1.000000000000000000e+02
