t = 8.130000
x    u(x,t)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 1.266595391407979054e+00
2.000000000000000111e-01 2.533723868410495683e+00
3.000000000000000444e-01 3.801917461418435895e+00
4.000000000000000222e-01 5.071706089826907515e+00
5.000000000000000000e-01 6.343616504864195704e+00
6.000000000000000888e-01 7.618171230407718930e+00
7.000000000000000666e-01 8.895887500988187924e+00
8.000000000000000444e-01 1.017727619611815904e+01
9.000000000000000222e-01 1.146284076997694967e+01
1.000000000000000000e+00 1.275307617536213911e+01
1.100000000000000089e+00 1.404846778067966184e+01
1.200000000000000178e+00 1.534949027859247117e+01
1.300000000000000044e+00 1.665660658478314105e+01
1.400000000000000133e+00 1.797026672511194079e+01
1.500000000000000000e+00 1.929090670927030970e+01
1.600000000000000089e+00 2.061894738884413414e+01
1.700000000000000178e+00 2.195479329751355735e+01
1.800000000000000044e+00 2.329883147093035589e+01
1.900000000000000133e+00 2.465143024363240798e+01
2.000000000000000000e+00 2.601293802018147261e+01
2.100000000000000089e+00 2.738368201754840925e+01
2.200000000000000178e+00 2.876396697562211102e+01
2.300000000000000266e+00 3.015407383258943597e+01
2.400000000000000355e+00 3.155425836182474342e+01
2.500000000000000000e+00 3.296474976684488212e+01
2.600000000000000089e+00 3.438574923083016444e+01
2.700000000000000178e+00 3.581742841718769199e+01
2.800000000000000266e+00 3.725992791764456058e+01
2.900000000000000355e+00 3.871335564440538235e+01
3.000000000000000000e+00 4.017778516299674862e+01
3.100000000000000089e+00 4.165325396255112622e+01
3.200000000000000178e+00 4.313976166045694782e+01
3.300000000000000266e+00 4.463726813852337472e+01
3.400000000000000355e+00 4.614569160807639747e+01
3.500000000000000000e+00 4.766490660172184590e+01
3.600000000000000089e+00 4.919474188987864238e+01
3.700000000000000178e+00 5.073497832060444068e+01
3.800000000000000266e+00 5.228534658170477911e+01
3.900000000000000355e+00 5.384552488463515374e+01
4.000000000000000000e+00 5.541513657027304163e+01
4.100000000000000533e+00 5.699374763725129611e+01
4.200000000000000178e+00 5.858086419420401114e+01
4.299999999999999822e+00 6.017592983797796791e+01
4.400000000000000355e+00 6.177832296060402228e+01
4.500000000000000000e+00 6.338735398860014669e+01
4.600000000000000533e+00 6.500226255898603256e+01
4.700000000000000178e+00 6.662221463722403314e+01
4.800000000000000711e+00 6.824629958315811962e+01
4.900000000000000355e+00 6.987352717189365592e+01
5.000000000000000000e+00 7.150282457744307862e+01
5.100000000000000533e+00 7.313303332784521160e+01
5.200000000000000178e+00 7.476290624134664142e+01
5.300000000000000711e+00 7.639110435409997990e+01
5.400000000000000355e+00 7.801619385068241286e+01
5.500000000000000000e+00 7.963664300955828423e+01
5.600000000000000533e+00 8.125081917639334961e+01
5.700000000000000178e+00 8.285698577886972771e+01
5.800000000000000711e+00 8.445329939733861124e+01
5.900000000000000355e+00 8.603780690627496597e+01
6.000000000000000000e+00 8.760844270205849682e+01
6.100000000000000533e+00 8.916302603308639618e+01
6.200000000000000178e+00 9.069925844862284237e+01
6.300000000000000711e+00 9.221472138309593447e+01
6.400000000000000355e+00 9.370687389276181989e+01
6.500000000000000000e+00 9.517305056175956679e+01
6.600000000000000533e+00 9.661045959457446486e+01
6.700000000000000178e+00 9.801618111180665949e+01
6.800000000000000711e+00 9.938716566590238699e+01
6.900000000000000355e+00 1.007202329931429858e+02
7.000000000000000000e+00 1.020120710177012739e+02
7.100000000000000533e+00 1.032592351229636023e+02
7.200000000000000178e+00 1.044581477045786926e+02
7.300000000000000711e+00 1.056050980188328623e+02
7.400000000000000355e+00 1.066962423389672949e+02
7.500000000000000000e+00 1.077276044309499525e+02
7.600000000000000533e+00 1.086950763589958768e+02
7.700000000000000178e+00 1.095944196298030704e+02
7.800000000000000711e+00 1.104212666830403862e+02
7.900000000000000355e+00 1.111711227340992139e+02
8.000000000000000000e+00 1.118393679735098942e+02
8.099999999999999645e+00 1.124212601257367226e+02
8.200000000000001066e+00 1.129119373683134171e+02
8.300000000000000711e+00 1.133064216104750699e+02
8.400000000000000355e+00 1.135996221285950583e+02
8.500000000000000000e+00 1.137863395538606142e+02
8.599999999999999645e+00 1.138612702057310315e+02
8.700000000000001066e+00 1.138190107628324199e+02
8.800000000000000711e+00 1.136540632610659998e+02
8.900000000000000355e+00 1.133608404068600350e+02
9.000000000000000000e+00 1.129336711916894131e+02
9.099999999999999645e+00 1.123668067922394300e+02
9.200000000000001066e+00 1.116544267389144096e+02
9.300000000000000711e+00 1.107906453337995458e+02
9.400000000000000355e+00 1.097695182976912207e+02
9.500000000000000000e+00 1.085850496244289474e+02
9.600000000000001421e+00 1.072311986195005744e+02
9.700000000000001066e+00 1.057018870987660364e+02
9.800000000000000711e+00 1.039910067221586587e+02
9.900000000000000355e+00 1.020924264363889478e+02
1.000000000000000000e+01 1.000000000000000000e+02
