t = 2.410000
x    u(x,t)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 4.888158685356097655e-01
2.000000000000000111e-01 9.786596584103095520e-01
3.000000000000000444e-01 1.470555021379042593e+00
4.000000000000000222e-01 1.965517123302630509e+00
5.000000000000000000e-01 2.464548533276615494e+00
6.000000000000000888e-01 2.968635268176892605e+00
7.000000000000000666e-01 3.478743039399837311e+00
8.000000000000000444e-01 3.995813744453044603e+00
9.000000000000000222e-01 4.520762241127612491e+00
1.000000000000000000e+00 5.054473436392769692e+00
1.100000000000000089e+00 5.597799716053173391e+00
1.200000000000000178e+00 6.151558734763668213e+00
1.300000000000000044e+00 6.716531579375248029e+00
1.400000000000000133e+00 7.293461311958591153e+00
1.500000000000000000e+00 7.883051892379553394e+00
1.600000000000000089e+00 8.485967474135550859e+00
1.700000000000000178e+00 9.102832061436840760e+00
1.800000000000000044e+00 9.734229510347606862e+00
1.900000000000000133e+00 1.038070385228064296e+01
2.000000000000000000e+00 1.104275991433452830e+01
2.100000000000000089e+00 1.172086420791698380e+01
2.200000000000000178e+00 1.241544605483038488e+01
2.300000000000000266e+00 1.312689891850012458e+01
2.400000000000000355e+00 1.385558190727559058e+01
2.500000000000000000e+00 1.460182141667955591e+01
2.600000000000000089e+00 1.536591287806054318e+01
2.700000000000000178e+00 1.614812258223583896e+01
2.800000000000000266e+00 1.694868954831257213e+01
2.900000000000000355e+00 1.776782740984436160e+01
3.000000000000000000e+00 1.860572629272348522e+01
3.100000000000000089e+00 1.946255466162292080e+01
3.200000000000000178e+00 2.033846111429116021e+01
3.300000000000000266e+00 2.123357610547267171e+01
3.400000000000000355e+00 2.214801358458924341e+01
3.500000000000000000e+00 2.308187253349383283e+01
3.600000000000000089e+00 2.403523839252590122e+01
3.700000000000000178e+00 2.500818436469311834e+01
3.800000000000000266e+00 2.600077258902565092e+01
3.900000000000000355e+00 2.701305517495003627e+01
4.000000000000000000e+00 2.804507508987587272e+01
4.100000000000000533e+00 2.909686689205150856e+01
4.200000000000000178e+00 3.016845730010724580e+01
4.299999999999999822e+00 3.125986558955441197e+01
4.400000000000000355e+00 3.237110380484459426e+01
4.500000000000000000e+00 3.350217677342099876e+01
4.600000000000000533e+00 3.465308190552811851e+01
4.700000000000000178e+00 3.582380876041178652e+01
4.800000000000000711e+00 3.701433835597513422e+01
4.900000000000000355e+00 3.822464219500493954e+01
5.000000000000000000e+00 3.945468097681000330e+01
5.100000000000000533e+00 4.070440295859663848e+01
5.200000000000000178e+00 4.197374192624277356e+01
5.300000000000000711e+00 4.326261472943652819e+01
5.400000000000000355e+00 4.457091833155474347e+01
5.500000000000000000e+00 4.589852632033058910e+01
5.600000000000000533e+00 4.724528482147760400e+01
5.700000000000000178e+00 4.861100775420429443e+01
5.800000000000000711e+00 4.999547136519119306e+01
5.900000000000000355e+00 5.139840797635099534e+01
6.000000000000000000e+00 5.281949888180817254e+01
6.100000000000000533e+00 5.425836633127432407e+01
6.200000000000000178e+00 5.571456454062347774e+01
6.300000000000000711e+00 5.718756967623707510e+01
6.400000000000000355e+00 5.867676876782256556e+01
6.500000000000000000e+00 6.018144751511516688e+01
6.600000000000000533e+00 6.170077696730120209e+01
6.700000000000000178e+00 6.323379907025563540e+01
6.800000000000000711e+00 6.477941109578983969e+01
6.900000000000000355e+00 6.633634898900361065e+01
7.000000000000000000e+00 6.790316969437425598e+01
7.100000000000000533e+00 6.947823254813755511e+01
7.200000000000000178e+00 7.105967985345036197e+01
7.300000000000000711e+00 7.264541678528605928e+01
7.400000000000000355e+00 7.423309080339856791e+01
7.500000000000000000e+00 7.582007078328810223e+01
7.600000000000000533e+00 7.740342610609589258e+01
7.700000000000000178e+00 7.897990597785154421e+01
7.800000000000000711e+00 8.054591927553173036e+01
7.900000000000000355e+00 8.209751524096529351e+01
8.000000000000000000e+00 8.363036536273276056e+01
8.099999999999999645e+00 8.513974679987802574e+01
8.200000000000001066e+00 8.662052770856725203e+01
8.300000000000000711e+00 8.806715483298303582e+01
8.400000000000000355e+00 8.947364371406470696e+01
8.500000000000000000e+00 9.083357185370961417e+01
8.599999999999999645e+00 9.214007514745792093e+01
8.700000000000001066e+00 9.338584786545325755e+01
8.800000000000000711e+00 9.456314641982483238e+01
8.900000000000000355e+00 9.566379710706182493e+01
9.000000000000000000e+00 9.667920795720814908e+01
9.099999999999999645e+00 9.760038475882325315e+01
9.200000000000001066e+00 9.841795126090019608e+01
9.300000000000000711e+00 9.912217348179218845e+01
9.400000000000000355e+00 9.970298798233390869e+01
9.500000000000000000e+00 1.001500338875403031e+02
9.600000000000001421e+00 1.004526883703856015e+02
9.700000000000001066e+00 1.006001052440742427e+02
9.800000000000000711e+00 1.005812562477351264e+02
9.900000000000000355e+00 1.003849745563005342e+02
1.000000000000000000e+01 1.000000000000000000e+02
