t = 5.190000
x    u(x,t)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 8.825742215489075226e-01
2.000000000000000111e-01 1.765847847228244394e+00
3.000000000000000444e-01 2.650518894285703198e+00
4.000000000000000222e-01 3.537282613036841550e+00
5.000000000000000000e-01 4.426830120389443124e+00
6.000000000000000888e-01 5.319847053497171352e+00
7.000000000000000666e-01 6.217012249822971626e+00
8.000000000000000444e-01 7.118996459530159804e+00
9.000000000000000222e-01 8.026461095672603463e+00
1.000000000000000000e+00 8.940057027129336475e+00
1.100000000000000089e+00 9.860423418628148085e+00
1.200000000000000178e+00 1.078818662153305930e+01
1.300000000000000044e+00 1.172395911833798721e+01
1.400000000000000133e+00 1.266833852302062446e+01
1.500000000000000000e+00 1.362190663857276363e+01
1.600000000000000089e+00 1.458522857214445700e+01
1.700000000000000178e+00 1.555885190732591461e+01
1.800000000000000044e+00 1.654330593215178880e+01
1.900000000000000133e+00 1.753910092045414260e+01
2.000000000000000000e+00 1.854672746322146182e+01
2.100000000000000089e+00 1.956665584564903426e+01
2.200000000000000178e+00 2.059933546459807019e+01
2.300000000000000266e+00 2.164519428022497394e+01
2.400000000000000355e+00 2.270463829460548766e+01
2.500000000000000000e+00 2.377805104926737556e+01
2.600000000000000089e+00 2.486579313266780744e+01
2.700000000000000178e+00 2.596820168781381355e+01
2.800000000000000266e+00 2.708558990943297928e+01
2.900000000000000355e+00 2.821824651936328010e+01
3.000000000000000000e+00 2.936643520815277242e+01
3.100000000000000089e+00 3.053039403024778053e+01
3.200000000000000178e+00 3.171033473960892834e+01
3.300000000000000266e+00 3.290644205213531848e+01
3.400000000000000355e+00 3.411887282090412299e+01
3.500000000000000000e+00 3.534775510995386583e+01
3.600000000000000089e+00 3.659318715216186746e+01
3.700000000000000178e+00 3.785523617669649354e+01
3.800000000000000266e+00 3.913393709157204370e+01
3.900000000000000355e+00 4.042929100700441580e+01
4.000000000000000000e+00 4.174126358556879524e+01
4.100000000000000533e+00 4.306978320560325102e+01
4.200000000000000178e+00 4.441473892489285902e+01
4.299999999999999822e+00 4.577597823241482899e+01
4.400000000000000355e+00 4.715330457683368337e+01
4.500000000000000000e+00 4.854647466151394752e+01
4.600000000000000533e+00 4.995519549707056939e+01
4.700000000000000178e+00 5.137912120390997472e+01
4.800000000000000711e+00 5.281784955883186683e+01
4.900000000000000355e+00 5.427091828156230235e+01
5.000000000000000000e+00 5.573780105907708560e+01
5.100000000000000533e+00 5.721790330774339139e+01
5.200000000000000178e+00 5.871055767565849948e+01
5.300000000000000711e+00 6.021501929008529430e+01
5.400000000000000355e+00 6.173046075756793272e+01
5.500000000000000000e+00 6.325596692714491809e+01
5.600000000000000533e+00 6.479052943004217013e+01
5.700000000000000178e+00 6.633304101230966410e+01
5.800000000000000711e+00 6.788228968003566877e+01
5.900000000000000355e+00 6.943695268000777787e+01
6.000000000000000000e+00 7.099559034196090579e+01
6.100000000000000533e+00 7.255663981182371458e+01
6.200000000000000178e+00 7.411840870861416875e+01
6.300000000000000711e+00 7.567906874079923796e+01
6.400000000000000355e+00 7.723664932098596125e+01
6.500000000000000000e+00 7.878903122070600773e+01
6.600000000000000533e+00 8.033394030974825739e+01
6.700000000000000178e+00 8.186894142694166021e+01
6.800000000000000711e+00 8.339143243144457074e+01
6.900000000000000355e+00 8.489863848541382652e+01
7.000000000000000000e+00 8.638760662036403914e+01
7.100000000000000533e+00 8.785520064054068712e+01
7.200000000000000178e+00 8.929809641718429702e+01
7.300000000000000711e+00 9.071277762761891950e+01
7.400000000000000355e+00 9.209553199262799694e+01
7.500000000000000000e+00 9.344244806455951391e+01
7.600000000000000533e+00 9.474941261700740824e+01
7.700000000000000178e+00 9.601210868474144888e+01
7.800000000000000711e+00 9.722601429979023635e+01
7.900000000000000355e+00 9.838640196623130407e+01
8.000000000000000000e+00 9.948833891231379312e+01
8.099999999999999645e+00 1.005266881540557335e+02
8.200000000000001066e+00 1.014961103994443903e+02
8.300000000000000711e+00 1.023910668168628035e+02
8.400000000000000355e+00 1.032058226854109506e+02
8.500000000000000000e+00 1.039344519384391390e+02
8.599999999999999645e+00 1.045708426049250477e+02
8.700000000000001066e+00 1.051087031463689527e+02
8.800000000000000711e+00 1.055415696797271465e+02
8.900000000000000355e+00 1.058628140696301330e+02
9.000000000000000000e+00 1.060656528658201125e+02
9.099999999999999645e+00 1.061431570544776548e+02
9.200000000000001066e+00 1.060882625849732932e+02
9.300000000000000711e+00 1.058937816266679590e+02
9.400000000000000355e+00 1.055524145037741732e+02
9.500000000000000000e+00 1.050567622500702356e+02
9.600000000000001421e+00 1.043993397195031605e+02
9.700000000000001066e+00 1.035725891835021599e+02
9.800000000000000711e+00 1.025688943412192486e+02
9.900000000000000355e+00 1.013805946649783323e+02
1.000000000000000000e+01 1.000000000000000000e+02
