t = 8.840000
x    u(x,t)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 1.355845646445454689e+00
2.000000000000000111e-01 2.712186361329705253e+00
3.000000000000000444e-01 4.069516123013025677e+00
4.000000000000000222e-01 5.428326728437111726e+00
5.000000000000000000e-01 6.789106699248961263e+00
6.000000000000000888e-01 8.152340184088389563e+00
7.000000000000000666e-01 9.518505855700841067e+00
8.000000000000000444e-01 1.088807580148739085e+01
9.000000000000000222e-01 1.226151440604321863e+01
1.000000000000000000e+00 1.363927722416573829e+01
1.100000000000000089e+00 1.502180984273470976e+01
1.200000000000000178e+00 1.640954672978110196e+01
1.300000000000000044e+00 1.780291006897035544e+01
1.400000000000000133e+00 1.920230857763124277e+01
1.500000000000000000e+00 2.060813630636523186e+01
1.600000000000000089e+00 2.202077141817577655e+01
1.700000000000000178e+00 2.344057494496372840e+01
1.800000000000000044e+00 2.486788951914737922e+01
1.900000000000000133e+00 2.630303807808462935e+01
2.000000000000000000e+00 2.774632253890411349e+01
2.100000000000000089e+00 2.919802244129355984e+01
2.200000000000000178e+00 3.065839355574920333e+01
2.300000000000000266e+00 3.212766645476401095e+01
2.400000000000000355e+00 3.360604504442453333e+01
2.500000000000000000e+00 3.509370505390131001e+01
2.600000000000000089e+00 3.659079248035652654e+01
2.700000000000000178e+00 3.809742198685778902e+01
2.800000000000000266e+00 3.961367525098058451e+01
2.900000000000000355e+00 4.113959926190566563e+01
3.000000000000000000e+00 4.267520456397318895e+01
3.100000000000000089e+00 4.422046344484453329e+01
3.200000000000000178e+00 4.577530806664560714e+01
3.300000000000000266e+00 4.733962853872514387e+01
3.400000000000000355e+00 4.891327093095500089e+01
3.500000000000000000e+00 5.049603522683187151e+01
3.600000000000000089e+00 5.208767321600637956e+01
3.700000000000000178e+00 5.368788632626959867e+01
3.800000000000000266e+00 5.529632339546574116e+01
3.900000000000000355e+00 5.691257838427274152e+01
4.000000000000000000e+00 5.853618803129822368e+01
4.100000000000000533e+00 6.016662945247531269e+01
4.200000000000000178e+00 6.180331768730800235e+01
4.299999999999999822e+00 6.344560319510734558e+01
4.400000000000000355e+00 6.509276930497377123e+01
4.500000000000000000e+00 6.674402962391559413e+01
4.600000000000000533e+00 6.839852540814300141e+01
4.700000000000000178e+00 7.005532290323844791e+01
4.800000000000000711e+00 7.171341065957314242e+01
4.900000000000000355e+00 7.337169683001025078e+01
5.000000000000000000e+00 7.502900645760406917e+01
5.100000000000000533e+00 7.668407876166413928e+01
5.200000000000000178e+00 7.833556443120076551e+01
5.300000000000000711e+00 7.998202293539512198e+01
5.400000000000000355e+00 8.162191986133986177e+01
5.500000000000000000e+00 8.325362428986693430e+01
5.600000000000000533e+00 8.487540622081317565e+01
5.700000000000000178e+00 8.648543405956534968e+01
5.800000000000000711e+00 8.808177217716792029e+01
5.900000000000000355e+00 8.966237855666356893e+01
6.000000000000000000e+00 9.122510253866364849e+01
6.100000000000000533e+00 9.276768267940566659e+01
6.200000000000000178e+00 9.428774473474577178e+01
6.300000000000000711e+00 9.578279978364832914e+01
6.400000000000000355e+00 9.725024250476934640e+01
6.500000000000000000e+00 9.868734961968205255e+01
6.600000000000000533e+00 1.000912785161573737e+02
6.700000000000000178e+00 1.014590660646873346e+02
6.800000000000000711e+00 1.027876276411229952e+02
6.900000000000000355e+00 1.040737563678893167e+02
7.000000000000000000e+00 1.053141225857374792e+02
7.100000000000000533e+00 1.065052735673988735e+02
7.200000000000000178e+00 1.076436334838171689e+02
7.300000000000000711e+00 1.087255036328557480e+02
7.400000000000000355e+00 1.097470629395110109e+02
7.500000000000000000e+00 1.107043687357090533e+02
7.600000000000000533e+00 1.115933578267307809e+02
7.700000000000000178e+00 1.124098478502014018e+02
7.800000000000000711e+00 1.131495389323993237e+02
7.900000000000000355e+00 1.138080156453968073e+02
8.000000000000000000e+00 1.143807492672428197e+02
8.099999999999999645e+00 1.148631003460485260e+02
8.200000000000001066e+00 1.152503215674437342e+02
8.300000000000000711e+00 1.155375609234495329e+02
8.400000000000000355e+00 1.157198651793640636e+02
8.500000000000000000e+00 1.157921836337984729e+02
8.599999999999999645e+00 1.157493721655372099e+02
8.700000000000001066e+00 1.155861975594381761e+02
8.800000000000000711e+00 1.152973421021499547e+02
8.900000000000000355e+00 1.148774084370099331e+02
9.000000000000000000e+00 1.143209246661132283e+02
9.099999999999999645e+00 1.136223496862161113e+02
9.200000000000001066e+00 1.127760787438693200e+02
9.300000000000000711e+00 1.117764491939760063e+02
9.400000000000000355e+00 1.106177464448450820e+02
9.500000000000000000e+00 1.092942100717731364e+02
9.600000000000001421e+00 1.078000400802426242e+02
9.700000000000001066e+00 1.061294032989820693e+02
9.800000000000000711e+00 1.042764398823958629e+02
9.900000000000000355e+00 1.022352699012505894e+02
1.000000000000000000e+01 1.000000000000000000e+02
