t = 2.300000
x    u(x,t)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 4.720982928204164875e-01
2.000000000000000111e-01 9.452488002659955590e-01
3.000000000000000444e-01 1.420499157234653032e+00
4.000000000000000222e-01 1.898887899054043427e+00
5.000000000000000000e-01 2.381440060100014744e+00
6.000000000000000888e-01 2.869162946879756149e+00
7.000000000000000666e-01 3.363042137820247746e+00
8.000000000000000444e-01 3.864037757165066811e+00
9.000000000000000222e-01 4.373081064614803282e+00
1.000000000000000000e+00 4.891071395818217482e+00
1.100000000000000089e+00 5.418873481721612428e+00
1.200000000000000178e+00 5.957315167313515403e+00
1.300000000000000044e+00 6.507185542665715694e+00
1.400000000000000133e+00 7.069233491572827432e+00
1.500000000000000000e+00 7.644166655723473092e+00
1.600000000000000089e+00 8.232650805374680303e+00
1.700000000000000178e+00 8.835309601102755650e+00
1.800000000000000044e+00 9.452724725500061709e+00
1.900000000000000133e+00 1.008543635877980726e+01
2.000000000000000000e+00 1.073394396821235475e+01
2.100000000000000089e+00 1.139870737818817936e+01
2.200000000000000178e+00 1.208014808549505936e+01
2.300000000000000266e+00 1.277865078309354629e+01
2.400000000000000355e+00 1.349456505523128769e+01
2.500000000000000000e+00 1.422820720708815223e+01
2.600000000000000089e+00 1.497986219320522139e+01
2.700000000000000178e+00 1.574978561062318150e+01
2.800000000000000266e+00 1.653820572483010665e+01
2.900000000000000355e+00 1.734532549917993194e+01
3.000000000000000000e+00 1.817132460127465521e+01
3.100000000000000089e+00 1.901636136278946054e+01
3.200000000000000178e+00 1.988057467225029740e+01
3.300000000000000266e+00 2.076408578324399201e+01
3.400000000000000355e+00 2.166700002335694819e+01
3.500000000000000000e+00 2.258940839171572179e+01
3.600000000000000089e+00 2.353138903526684089e+01
3.700000000000000178e+00 2.449300859582179513e+01
3.800000000000000266e+00 2.547432342135420313e+01
3.900000000000000355e+00 2.647538063602678804e+01
4.000000000000000000e+00 2.749621906391475790e+01
4.100000000000000533e+00 2.853687000135386143e+01
4.200000000000000178e+00 2.959735783226011918e+01
4.299999999999999822e+00 3.067770047963408331e+01
4.400000000000000355e+00 3.177790968477199485e+01
4.500000000000000000e+00 3.289799110346424271e+01
4.600000000000000533e+00 3.403794420567641055e+01
4.700000000000000178e+00 3.519776196190017004e+01
4.800000000000000711e+00 3.637743029555551999e+01
4.900000000000000355e+00 3.757692727656176146e+01
5.000000000000000000e+00 3.879622202652156915e+01
5.100000000000000533e+00 4.003527330094686931e+01
5.200000000000000178e+00 4.129402770868195205e+01
5.300000000000000711e+00 4.257241752325138151e+01
5.400000000000000355e+00 4.387035803540717893e+01
5.500000000000000000e+00 4.518774439082463346e+01
5.600000000000000533e+00 4.652444785187987009e+01
5.700000000000000178e+00 4.788031141794335355e+01
5.800000000000000711e+00 4.925514473487891109e+01
5.900000000000000355e+00 5.064871822170834292e+01
6.000000000000000000e+00 5.206075634097393134e+01
6.100000000000000533e+00 5.349092993950384312e+01
6.200000000000000178e+00 5.493884758837246096e+01
6.300000000000000711e+00 5.640404585515921809e+01
6.400000000000000355e+00 5.788597844844593254e+01
6.500000000000000000e+00 5.938400418413248616e+01
6.600000000000000533e+00 6.089737373582720892e+01
6.700000000000000178e+00 6.242521514746627531e+01
6.800000000000000711e+00 6.396651810554212858e+01
6.900000000000000355e+00 6.552011699089351282e+01
7.000000000000000000e+00 6.708467275584432343e+01
7.100000000000000533e+00 6.865865370136444312e+01
7.200000000000000178e+00 7.024031526052849017e+01
7.300000000000000711e+00 7.182767892838344892e+01
7.400000000000000355e+00 7.341851051378584714e+01
7.500000000000000000e+00 7.501029792506369631e+01
7.600000000000000533e+00 7.660022873760482298e+01
7.700000000000000178e+00 7.818516782665119536e+01
7.800000000000000711e+00 7.976163538157813093e+01
7.900000000000000355e+00 8.132578564757791639e+01
8.000000000000000000e+00 8.287338676573692453e+01
8.099999999999999645e+00 8.439980210179088260e+01
8.200000000000001066e+00 8.589997346621683505e+01
8.300000000000000711e+00 8.736840663272381846e+01
8.400000000000000355e+00 8.879915955774487202e+01
8.500000000000000000e+00 9.018583368950855572e+01
8.599999999999999645e+00 9.152156873123148273e+01
8.700000000000001066e+00 9.279904118874131314e+01
8.800000000000000711e+00 9.401046698855473949e+01
8.900000000000000355e+00 9.514760839855799190e+01
9.000000000000000000e+00 9.620178542077110251e+01
9.099999999999999645e+00 9.716389175535491063e+01
9.200000000000001066e+00 9.802441535848352316e+01
9.300000000000000711e+00 9.877346353567799042e+01
9.400000000000000355e+00 9.940079242863068032e+01
9.500000000000000000e+00 9.989584066957024788e+01
9.600000000000001421e+00 1.002477668950554062e+02
9.700000000000001066e+00 1.004454907329975413e+02
9.800000000000000711e+00 1.004777368049092274e+02
9.900000000000000355e+00 1.003330812219334547e+02
1.000000000000000000e+01 1.000000000000000000e+02
