t = 4.020000
x    u(x,t)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 7.220159764228341048e-01
2.000000000000000111e-01 1.444827771547779749e+00
3.000000000000000444e-01 2.169229218562752859e+00
4.000000000000000222e-01 2.896010194219947653e+00
5.000000000000000000e-01 3.625954676907244600e+00
6.000000000000000888e-01 4.359838847731042577e+00
7.000000000000000666e-01 5.098429248063908403e+00
8.000000000000000444e-01 5.842481006270699773e+00
9.000000000000000222e-01 6.592736145424042071e+00
1.000000000000000000e+00 7.349921982767868123e+00
1.100000000000000089e+00 8.114749630501895794e+00
1.200000000000000178e+00 8.887912606157968298e+00
1.300000000000000044e+00 9.670085559439511869e+00
1.400000000000000133e+00 1.046192312091769949e+01
1.500000000000000000e+00 1.126405887644170001e+01
1.600000000000000089e+00 1.207710446954572703e+01
1.700000000000000178e+00 1.290164883254128370e+01
1.800000000000000044e+00 1.373825754538782817e+01
1.900000000000000133e+00 1.458747231985568149e+01
2.000000000000000000e+00 1.544981060494716374e+01
2.100000000000000089e+00 1.632576530803919823e+01
2.200000000000000178e+00 1.721580462476451601e+01
2.300000000000000266e+00 1.812037196926867111e+01
2.400000000000000355e+00 1.903988599517342095e+01
2.500000000000000000e+00 1.997474069634846217e+01
2.600000000000000089e+00 2.092530557544603553e+01
2.700000000000000178e+00 2.189192586708677268e+01
2.800000000000000266e+00 2.287492280160000746e+01
2.900000000000000355e+00 2.387459389431371548e+01
3.000000000000000000e+00 2.489121324455572903e+01
3.100000000000000089e+00 2.592503182776332693e+01
3.200000000000000178e+00 2.697627776339737338e+01
3.300000000000000266e+00 2.804515654071561315e+01
3.400000000000000355e+00 2.913185118387140449e+01
3.500000000000000000e+00 3.023652233726651062e+01
3.600000000000000089e+00 3.135930825159594448e+01
3.700000000000000178e+00 3.250032465057933706e+01
3.800000000000000266e+00 3.365966445797800333e+01
3.900000000000000355e+00 3.483739736415301280e+01
4.000000000000000000e+00 3.603356921113536515e+01
4.100000000000000533e+00 3.724820117496315675e+01
4.200000000000000178e+00 3.848128872390617516e+01
4.299999999999999822e+00 3.973280033116162002e+01
4.400000000000000355e+00 4.100267592068443889e+01
4.500000000000000000e+00 4.229082502503609930e+01
4.600000000000000533e+00 4.359712463451956665e+01
4.700000000000000178e+00 4.492141671744465725e+01
4.800000000000000711e+00 4.626350539216634417e+01
4.900000000000000355e+00 4.762315373258892492e+01
5.000000000000000000e+00 4.900008019016339489e+01
5.100000000000000533e+00 5.039395461705353085e+01
5.200000000000000178e+00 5.180439387714025656e+01
5.300000000000000711e+00 5.323095703389822120e+01
5.400000000000000355e+00 5.467314010693987569e+01
5.500000000000000000e+00 5.613037039219990731e+01
5.600000000000000533e+00 5.760200034433903227e+01
5.700000000000000178e+00 5.908730102399203332e+01
5.800000000000000711e+00 6.058545511696539165e+01
5.900000000000000355e+00 6.209554953740030925e+01
6.000000000000000000e+00 6.361656763223481192e+01
6.100000000000000533e+00 6.514738100999599624e+01
6.200000000000000178e+00 6.668674102298980699e+01
6.300000000000000711e+00 6.823326993827667764e+01
6.400000000000000355e+00 6.978545183936520857e+01
6.500000000000000000e+00 7.134162330724487333e+01
6.600000000000000533e+00 7.289996393612646841e+01
6.700000000000000178e+00 7.445848674596824424e+01
6.800000000000000711e+00 7.601502856042756662e+01
6.900000000000000355e+00 7.756724042517974738e+01
7.000000000000000000e+00 7.911257814746315375e+01
7.100000000000000533e+00 8.064829304311848546e+01
7.200000000000000178e+00 8.217142298216084839e+01
7.300000000000000711e+00 8.367878382792854097e+01
7.400000000000000355e+00 8.516696136796684868e+01
7.500000000000000000e+00 8.663230383691121972e+01
7.600000000000000533e+00 8.807091513261980253e+01
7.700000000000000178e+00 8.947864882657520980e+01
7.800000000000000711e+00 9.085110306804561731e+01
7.900000000000000355e+00 9.218361647859869379e+01
8.000000000000000000e+00 9.347126512925781583e+01
8.099999999999999645e+00 9.470886068685220494e+01
8.200000000000001066e+00 9.589094980894437015e+01
8.300000000000000711e+00 9.701181485814865368e+01
8.400000000000000355e+00 9.806547599673655213e+01
8.500000000000000000e+00 9.904569471123983249e+01
8.599999999999999645e+00 9.994597880442209714e+01
8.700000000000001066e+00 1.007595888786243279e+02
8.800000000000000711e+00 1.014795463202616190e+02
8.900000000000000355e+00 1.020986427803373573e+02
9.000000000000000000e+00 1.026094511304461605e+02
9.099999999999999645e+00 1.030043378580786140e+02
9.200000000000001066e+00 1.032754768493438320e+02
9.300000000000000711e+00 1.034148644917293325e+02
9.400000000000000355e+00 1.034143360144622932e+02
9.500000000000000000e+00 1.032655829696597891e+02
9.600000000000001421e+00 1.029601717439920634e+02
9.700000000000001066e+00 1.024895629782538293e+02
9.800000000000000711e+00 1.018451317612497604e+02
9.900000000000000355e+00 1.010181884549376434e+02
1.000000000000000000e+01 1.000000000000000000e+02
