t = 5.820000
x    u(x,t)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 9.669462078645645331e-01
2.000000000000000111e-01 1.934551084849050362e+00
3.000000000000000444e-01 2.903472086437566713e+00
4.000000000000000222e-01 3.874364245144185315e+00
5.000000000000000000e-01 4.847878969712323460e+00
6.000000000000000888e-01 5.824662856941239752e+00
7.000000000000000666e-01 6.805356520026942135e+00
8.000000000000000444e-01 7.790593437032573121e+00
9.000000000000000222e-01 8.780998822767600132e+00
1.000000000000000000e+00 9.777188526958816794e+00
1.100000000000000089e+00 1.077976796114249147e+01
1.200000000000000178e+00 1.178933105620020605e+01
1.300000000000000044e+00 1.280645925190516010e+01
1.400000000000000133e+00 1.383172051924593227e+01
1.500000000000000000e+00 1.486566841565578656e+01
1.600000000000000089e+00 1.590884117260365116e+01
1.700000000000000178e+00 1.696176081430278515e+01
1.800000000000000044e+00 1.802493230557196924e+01
1.900000000000000133e+00 1.909884272614706546e+01
2.000000000000000000e+00 2.018396046799520605e+01
2.100000000000000089e+00 2.128073445143596132e+01
2.200000000000000178e+00 2.238959335512991444e+01
2.300000000000000266e+00 2.351094485426301617e+01
2.400000000000000355e+00 2.464517486054031892e+01
2.500000000000000000e+00 2.579264675691335285e+01
2.600000000000000089e+00 2.695370061930793426e+01
2.700000000000000178e+00 2.812865241700015062e+01
2.800000000000000266e+00 2.931779318271580337e+01
2.900000000000000355e+00 3.052138814300803560e+01
3.000000000000000000e+00 3.173967579900783065e+01
3.100000000000000089e+00 3.297286694724796519e+01
3.200000000000000178e+00 3.422114362994123127e+01
3.300000000000000266e+00 3.548465800385333324e+01
3.400000000000000355e+00 3.676353111675818042e+01
3.500000000000000000e+00 3.805785158040342253e+01
3.600000000000000089e+00 3.936767412895503782e+01
3.700000000000000178e+00 4.069301805203541278e+01
3.800000000000000266e+00 4.203386549172830655e+01
3.900000000000000355e+00 4.339015959329904604e+01
4.000000000000000000e+00 4.476180249987644544e+01
4.100000000000000533e+00 4.614865318196780919e+01
4.200000000000000178e+00 4.755052509343366296e+01
4.299999999999999822e+00 4.896718364643847110e+01
4.400000000000000355e+00 5.039834349891857102e+01
4.500000000000000000e+00 5.184366564927202603e+01
4.600000000000000533e+00 5.330275433427488707e+01
4.700000000000000178e+00 5.477515372766524138e+01
4.800000000000000711e+00 5.626034443840691068e+01
4.900000000000000355e+00 5.775773980934506113e+01
5.000000000000000000e+00 5.926668201879096642e+01
5.100000000000000533e+00 6.078643798951366506e+01
5.200000000000000178e+00 6.231619511166650938e+01
5.300000000000000711e+00 6.385505678832106469e+01
5.400000000000000355e+00 6.540203781451016596e+01
5.500000000000000000e+00 6.695605960297851311e+01
5.600000000000000533e+00 6.851594527218770736e+01
5.700000000000000178e+00 7.008041461450255838e+01
5.800000000000000711e+00 7.164807896487661765e+01
5.900000000000000355e+00 7.321743599273446534e+01
6.000000000000000000e+00 7.478686444209169792e+01
6.100000000000000533e+00 7.635461884723477510e+01
6.200000000000000178e+00 7.791882425347569097e+01
6.300000000000000711e+00 7.947747097457100551e+01
6.400000000000000355e+00 8.102840942032473492e+01
6.500000000000000000e+00 8.256934502964860201e+01
6.600000000000000533e+00 8.409783334590416359e+01
6.700000000000000178e+00 8.561127527266933157e+01
6.800000000000000711e+00 8.710691254912974557e+01
6.900000000000000355e+00 8.858182348506758785e+01
7.000000000000000000e+00 9.003291899588073477e+01
7.100000000000000533e+00 9.145693897819290896e+01
7.200000000000000178e+00 9.285044906639018336e+01
7.300000000000000711e+00 9.420983780982379585e+01
7.400000000000000355e+00 9.553131430944203828e+01
7.500000000000000000e+00 9.681090635124508026e+01
7.600000000000000533e+00 9.804445907219066214e+01
7.700000000000000178e+00 9.922763419201690738e+01
7.800000000000000711e+00 1.003559098418931796e+02
7.900000000000000355e+00 1.014245810178729243e+02
8.000000000000000000e+00 1.024287606838158382e+02
8.099999999999999645e+00 1.033633815447920341e+02
8.200000000000001066e+00 1.042231985080013885e+02
8.300000000000000711e+00 1.050027918439667900e+02
8.400000000000000355e+00 1.056965710562249399e+02
8.500000000000000000e+00 1.062987794629800220e+02
8.599999999999999645e+00 1.068034994892493472e+02
8.700000000000001066e+00 1.072046586629582521e+02
8.800000000000000711e+00 1.074960363032859334e+02
8.900000000000000355e+00 1.076712708843743513e+02
9.000000000000000000e+00 1.077238680523439029e+02
9.099999999999999645e+00 1.076472092684654598e+02
9.200000000000001066e+00 1.074345610463724370e+02
9.300000000000000711e+00 1.070790847464158730e+02
9.400000000000000355e+00 1.065738468857204282e+02
9.500000000000000000e+00 1.059118299182427592e+02
9.600000000000001421e+00 1.050859434352150146e+02
9.700000000000001066e+00 1.040890357328185729e+02
9.800000000000000711e+00 1.029139056908190355e+02
9.900000000000000355e+00 1.015533149032412581e+02
1.000000000000000000e+01 1.000000000000000000e+02
