%_node_ ______x1_____ ______x2_____ ______T______ ______q______
     36 +1.250000e-02 +6.388287e-03 +1.543597e+02 -1.989520e-09 +5.012786e+04
     37 +1.250000e-02 +6.402276e-03 +1.543562e+02 +1.136868e-11 +5.002497e+04
     38 +1.250000e-02 +6.412006e-03 +1.543538e+02 -7.958079e-11 +4.995356e+04
     39 +1.250000e-02 +6.852432e-03 +1.542471e+02 -2.273737e-10 +4.697711e+04
     40 +1.250000e-02 +6.853263e-03 +1.542469e+02 -1.011813e-09 +4.697213e+04
     41 +1.250000e-02 +6.882515e-03 +1.542401e+02 -9.094947e-10 +4.679871e+04
     42 +1.250000e-02 +7.297092e-03 +1.541453e+02 -1.432454e-09 +4.477355e+04
     43 +1.250000e-02 +7.308915e-03 +1.541427e+02 -8.867573e-10 +4.472856e+04
     44 +1.250000e-02 +7.741103e-03 +1.540474e+02 -1.068656e-09 +4.359999e+04
     45 +1.250000e-02 +7.765589e-03 +1.540421e+02 -1.659828e-09 +4.356606e+04
     46 +1.250000e-02 +8.185114e-03 +1.539510e+02 +1.818989e-10 +4.345386e+04
     47 +1.250000e-02 +8.217756e-03 +1.539439e+02 -8.753887e-10 +4.347962e+04
     48 +1.250000e-02 +8.609347e-03 +1.538582e+02 -3.865352e-10 +4.409446e+04
     49 +1.250000e-02 +8.640435e-03 +1.538514e+02 -2.091838e-09 +4.416256e+04
     50 +1.250000e-02 +9.035960e-03 +1.537631e+02 -1.131184e-09 +4.513130e+04
     51 +1.250000e-02 +9.063113e-03 +1.537570e+02 -1.443823e-09 +4.519817e+04
     52 +1.250000e-02 +9.462572e-03 +1.536658e+02 -2.415845e-09 +4.599257e+04
     53 +1.250000e-02 +9.485792e-03 +1.536605e+02 +2.387424e-10 +4.602163e+04
     54 +1.250000e-02 +9.889185e-03 +1.535675e+02 -2.040679e-09 +4.605506e+04
     55 +1.250000e-02 +9.908136e-03 +1.535631e+02 -1.386979e-09 +4.603168e+04
     56 +1.250000e-02 +1.032138e-02 +1.534689e+02 -2.160050e-09 +4.491873e+04
     57 +1.250000e-02 +1.033360e-02 +1.534662e+02 -8.981260e-10 +4.486886e+04
     58 +1.250000e-02 +1.075421e-02 +1.533740e+02 -1.602984e-09 +4.267886e+04
     59 +1.250000e-02 +1.075906e-02 +1.533729e+02 -1.875833e-09 +4.264926e+04
     60 +1.250000e-02 +1.103937e-02 +1.533144e+02 -2.029310e-09 +4.084490e+04
     61 +1.250000e-02 +1.118465e-02 +1.532851e+02 -2.438583e-09 +3.987161e+04
     62 +1.250000e-02 +1.118718e-02 +1.532846e+02 -1.375611e-09 +3.985463e+04
     63 +1.250000e-02 +1.161046e-02 +1.532032e+02 -2.441425e-09 +3.711143e+04
     64 +1.250000e-02 +1.162004e-02 +1.532014e+02 -2.191314e-09 +3.705329e+04
     65 +1.250000e-02 +1.203403e-02 +1.531271e+02 -2.717115e-09 +3.480822e+04
     66 +1.250000e-02 +1.203768e-02 +1.531265e+02 -2.080469e-09 +3.479105e+04
     67 +1.250000e-02 +1.228838e-02 +1.530836e+02 -2.256684e-09 +3.373793e+04
     68 +1.250000e-02 +1.245538e-02 +1.530557e+02 -1.605827e-09 +3.317758e+04
     69 +1.250000e-02 +1.245782e-02 +1.530553e+02 -1.455192e-09 +3.317025e+04
     70 +1.250000e-02 +1.287315e-02 +1.529874e+02 -2.305001e-09 +3.227739e+04
     71 +1.250000e-02 +1.288169e-02 +1.529860e+02 -1.017497e-09 +3.226626e+04
     72 +1.250000e-02 +1.329092e-02 +1.529203e+02 -6.338041e-10 +3.204231e+04
     73 +1.250000e-02 +1.330537e-02 +1.529180e+02 -2.343370e-09 +3.204450e+04
     74 +1.250000e-02 +1.371134e-02 +1.528528e+02 -1.541878e-09 +3.231416e+04
     75 +1.250000e-02 +1.372216e-02 +1.528510e+02 -2.314948e-09 +3.232553e+04
     76 +1.250000e-02 +1.413185e-02 +1.527843e+02 -1.268319e-09 +3.279739e+04
     77 +1.250000e-02 +1.413894e-02 +1.527832e+02 -1.995915e-09 +3.280504e+04
     78 +1.250000e-02 +1.455236e-02 +1.527150e+02 +8.128609e-10 +3.307350e+04
     79 +1.250000e-02 +1.455572e-02 +1.527144e+02 -8.547829e-10 +3.307367e+04
     80 +1.250000e-02 +1.493118e-02 +1.526525e+02 +1.630696e-10 +3.279777e+04
     81 +1.250000e-02 +1.497251e-02 +1.526457e+02 +2.353673e-10 +3.272800e+04
     82 +1.250000e-02 +1.497288e-02 +1.526457e+02 -1.034195e-09 +3.272734e+04
     83 +1.250000e-02 +1.539206e-02 +1.525782e+02 +1.411227e-09 +3.155859e+04
     84 +1.250000e-02 +1.539313e-02 +1.525780e+02 +6.575185e-10 +3.155459e+04
     85 +1.250000e-02 +1.581161e-02 +1.525138e+02 -1.302070e-09 +2.968831e+04
     86 +1.250000e-02 +1.581338e-02 +1.525136e+02 -3.048228e-10 +2.967940e+04
     87 +1.250000e-02 +1.623117e-02 +1.524539e+02 +2.113865e-09 +2.747195e+04
     88 +1.250000e-02 +1.623364e-02 +1.524535e+02 +2.084732e-09 +2.745868e+04
     89 +1.250000e-02 +1.665072e-02 +1.523986e+02 +8.007817e-10 +2.529038e+04
     90 +1.250000e-02 +1.665388e-02 +1.523982e+02 +3.588241e-10 +2.527485e+04
