% Model:              calor.mph
% Version:            COMSOL 5.5.0.359
% Date:               Apr 16 2021, 17:38
% Dimension:          1
% Nodes:              132
% Expressions:        1
% Description:        Line graph
% cln1x                   Height
0                         155.70962865754365
3.107960320902053E-4      155.6686018724293
6.195981226231108E-4      155.62664486512782
6.215920641804106E-4      155.62637008244232
6.235988806600503E-4      155.62609347540004
9.323880962706158E-4      155.58293328758276
0.0012391962452461777     155.53887192691803
0.0012431841436377287     155.53829276528705
0.0012472033038977291     155.53770470262512
0.0015554007960304945     155.49199254289232
0.001863291771541133      155.44491810256534
0.001867617203222993      155.44424675109138
0.0018719469410288178     155.44357445315006
0.0021798336104154915     155.39505410460794
0.0024874140723076007     155.34517710638255
0.0024920500176079906     155.34441460344192
0.002496693922495438      155.34365218700788
0.002804837333917419      155.29178580013885
0.003113356307879754      155.2373360686339
0.0031176246502268466     155.23656507483793
0.00312188779668769       155.23579453779868
0.0034304119665362746     155.1787524275391
0.003739312162990309      155.11911443265387
0.003743198972469479      155.11834442428318
0.00374709126599334       155.11758442896837
0.004057399273548831      155.05523818988127
0.004369641269266447      154.9895635327608
0.004371599515699221      154.98914234442788
0.004373545632996671      154.98872364996777
0.00468579975784961       154.92006041433655
0.005000000000000001      154.84799239960725
0.005351030808338792      154.76438510895207
0.005694143537519612      154.6816465197268
0.005702061616677584      154.67972527428392
0.005710162422887689      154.67775913766883
0.006053092425016376      154.59401289560276
0.00638828707503922       154.51118489572588
0.006402275514539288      154.5077049587547
0.006412006313864796      154.50530341501496
0.006852432195859508      154.39577459333034
0.006853263058899128      154.39556930774208
0.006882514844507361      154.38834513651568
0.007297091761348321      154.2866463043532
0.007308914979513951      154.2837639572622
0.007741103069237503      154.17908639303857
0.00776558893780148       154.17319569848792
0.008185114377126684      154.0729324831305
0.008217756333752215      154.06524442741613
0.008609347453149787      153.97369180081432
0.008640434801217626      153.9665012104224
0.009035959901649892      153.8760106481106
0.009063113268683035      153.8698660529796
0.009462572350149998      153.780476978112
0.009485791736148445      153.7753389550877
0.009889184798650105      153.68709079081844
0.009908136347447688      153.68299610558046
0.010321377462663673      153.59477651310155
0.01033359959089103       153.59219939452768
0.010754208631863712      153.50463449611766
0.01075906283433437       153.50363666327996
0.01103937031783739       153.44650971675935
0.011184646155677195      153.4172838672505
0.011187176313734148      153.416777170355
0.011610461357131717      153.33312092271512
0.011620036280052638      153.33125427365965
0.012034030952118281      153.25163012596784
0.012037684682505304      153.2509368363293
0.01228837570830547       153.20376293334425
0.012455380647707386      153.17276810922777
0.012457820709397289      153.17231780968194
0.012873148029666734      153.0967445810267
0.012881691971802691      153.09521231711034
0.013290915411626072      153.02287980696167
0.01330537293244637       153.0203621098312
0.013711337496557095      152.95072297292944
0.013722156385996458      152.948894926041
0.014131850523324864      152.880732805636
0.014138939839546545      152.87957156626902
0.01455236355009263       152.812925001907
0.01455572329309663       152.81239203051518
0.014931177858678354      152.75370960761296
0.014972509811175629      152.74735585227137
0.014972880939717747      152.74729889219068
0.015392061800607629      152.68405064429672
0.01539313292689651       152.68389179804785
0.015811614766821896      152.62291245014563
0.015813384914075263      152.62265909138966
0.016231167733036164      152.56394141601368
0.016233636901254022      152.56360077221603
0.016650720699250433      152.507137541901
0.016653880982225068      152.50671786099667
0.017070940611456545      152.45241312770463
0.01707371642570463       152.45205885130622
0.017491167630807058      152.39985721342205
0.017493551869184186      152.39956521660548
0.017911394650157567      152.34947071525522
0.017913387312663745      152.34923695689426
0.01833162166950808       152.30125363320434
0.018333218762781833      152.30107450741178
0.01875366742453456       152.2550091752213
0.01875421519741507       152.25495057386325
0.01897195045435737       152.23194841313193
0.01917520858531714       152.2110003023869
0.019175718890989076      152.21094834700818
0.019596198709532546      152.16922367220405
0.01959776596504062       152.1690722072258
0.020017188833747937      152.12962033621523
0.020019793347335595      152.12938207200548
0.020446909174874194      152.09143520452176
0.02045309497442514       152.09090203907385
0.020876691844718662      152.0555059537302
0.020886396601514683      152.05472075952792
0.02130647451456313       152.02183827036856
0.02131969822860422       152.02083823336747
0.021736257184407606      151.9904321544368
0.021752185331688587      151.98931159155373
0.022194171526745996      151.9594571073872
0.022207097167488272      151.95861998189383
0.022653603998179304      151.93095638044645
0.022662009003287964      151.93045902154697
0.02311303646961261       151.90503684881517
0.02311692083908765       151.90482871051307
0.02350780517306792       151.88482723320763
0.023571727132206396      151.8817341173958
0.023572193883368606      151.88171171366346
0.023572861515389794      151.881679674442
0.023929072522110267      151.86536189270993
0.02428566552835729       151.85057964269487
0.024286048348073512      151.8505646082084
0.024286430757694898      151.85054959161556
0.024643024174036753      151.83732452493064
0.025                     151.8256416428766
