%_node_ ______x1_____ ______x2_____ ______T______ ______q______
     82 +2.400000e-02 +1.414208e-02 +8.916307e+01 +2.349784e+03
     83 +2.400000e-02 +1.312630e-02 +8.932984e+01 +2.359790e+03
     84 +2.400000e-02 +1.211051e-02 +8.952067e+01 +2.371240e+03
     85 +2.400000e-02 +1.109472e-02 +8.973573e+01 +2.384144e+03
     86 +2.400000e-02 +1.007894e-02 +8.997516e+01 +2.398510e+03
     87 +2.400000e-02 +9.063148e-03 +9.023910e+01 +2.414346e+03
     88 +2.400000e-02 +8.047361e-03 +9.052766e+01 +2.431660e+03
     89 +2.400000e-02 +7.031574e-03 +9.084083e+01 +2.450450e+03
     90 +2.400000e-02 +6.015787e-03 +9.117751e+01 +2.470651e+03
     91 +2.400000e-02 +5.000000e-03 +9.153990e+01 +2.492394e+03
     92 +2.400000e-02 +5.000000e-03 +9.153990e+01 +2.492394e+03
     93 +2.300000e-02 +5.000000e-03 +9.163426e+01 +2.498056e+03
     94 +2.200000e-02 +5.000000e-03 +9.152101e+01 +2.491261e+03
     95 +2.200000e-02 +5.000000e-03 +9.152101e+01 +2.491261e+03
     96 +2.200000e-02 +6.009462e-03 +9.117548e+01 +2.470529e+03
     97 +2.200000e-02 +7.018924e-03 +9.086229e+01 +2.451737e+03
     98 +2.200000e-02 +8.028386e-03 +9.057252e+01 +2.434351e+03
     99 +2.200000e-02 +9.037848e-03 +9.030725e+01 +2.418435e+03
    100 +2.200000e-02 +1.004731e-02 +9.006656e+01 +2.403994e+03
    101 +2.200000e-02 +1.105677e-02 +8.985037e+01 +2.391022e+03
    102 +2.200000e-02 +1.206623e-02 +8.965856e+01 +2.379514e+03
    103 +2.200000e-02 +1.307570e-02 +8.949100e+01 +2.369460e+03
    104 +2.200000e-02 +1.408516e-02 +8.934754e+01 +2.360852e+03
    105 +2.200000e-02 +1.509462e-02 +8.922799e+01 +2.353679e+03
    106 +2.200000e-02 +1.610408e-02 +8.913219e+01 +2.347932e+03
    107 +2.200000e-02 +1.711354e-02 +8.906010e+01 +2.343606e+03
    108 +2.200000e-02 +1.812301e-02 +8.901167e+01 +2.340700e+03
    109 +2.200000e-02 +1.913247e-02 +8.898767e+01 +2.339260e+03
    110 +2.200000e-02 +1.913247e-02 +8.898767e+01 +2.339260e+03
    111 +2.100000e-02 +1.913247e-02 +8.898778e+01 +2.339267e+03
    112 +2.100000e-02 +1.913247e-02 +8.898778e+01 +2.339267e+03
    113 +2.100000e-02 +1.812301e-02 +8.901174e+01 +2.340705e+03
    114 +2.100000e-02 +1.711354e-02 +8.906019e+01 +2.343611e+03
    115 +2.100000e-02 +1.610408e-02 +8.913231e+01 +2.347939e+03
    116 +2.100000e-02 +1.509462e-02 +8.922812e+01 +2.353687e+03
    117 +2.100000e-02 +1.408516e-02 +8.934762e+01 +2.360857e+03
    118 +2.100000e-02 +1.307570e-02 +8.949101e+01 +2.369461e+03
    119 +2.100000e-02 +1.206623e-02 +8.965855e+01 +2.379513e+03
    120 +2.100000e-02 +1.105677e-02 +8.985036e+01 +2.391022e+03
    121 +2.100000e-02 +1.004731e-02 +9.006655e+01 +2.403993e+03
    122 +2.100000e-02 +9.037848e-03 +9.030723e+01 +2.418434e+03
    123 +2.100000e-02 +8.028386e-03 +9.057250e+01 +2.434350e+03
    124 +2.100000e-02 +7.018924e-03 +9.086220e+01 +2.451732e+03
    125 +2.100000e-02 +6.009462e-03 +9.117517e+01 +2.470510e+03
