%_node_ ______x1_____ ______x2_____ ______T______ ______q______
      1 +0.000000e+00 +0.000000e+00 +1.057064e+02 -2.329200e+04
      2 +1.000000e-03 +0.000000e+00 +1.056933e+02 -2.329200e+04
      3 +2.000000e-03 +0.000000e+00 +1.056512e+02 -2.329200e+04
      4 +3.000000e-03 +0.000000e+00 +1.055835e+02 -2.329200e+04
      5 +4.000000e-03 +0.000000e+00 +1.054944e+02 -2.329200e+04
      6 +5.000000e-03 +0.000000e+00 +1.053904e+02 -2.329200e+04
      7 +6.000000e-03 +0.000000e+00 +1.052800e+02 -2.329200e+04
      8 +7.000000e-03 +0.000000e+00 +1.051719e+02 -2.329200e+04
      9 +8.000000e-03 +0.000000e+00 +1.050735e+02 -2.329200e+04
     10 +9.000000e-03 +0.000000e+00 +1.049899e+02 -2.329200e+04
     11 +1.000000e-02 +0.000000e+00 +1.049232e+02 -2.329200e+04
     12 +1.100000e-02 +0.000000e+00 +1.048720e+02 -2.329200e+04
     13 +1.200000e-02 +0.000000e+00 +1.048316e+02 -2.329200e+04
     14 +1.300000e-02 +0.000000e+00 +1.047960e+02 -2.329200e+04
     15 +1.400000e-02 +0.000000e+00 +1.047585e+02 -2.329200e+04
     16 +1.500000e-02 +0.000000e+00 +1.047139e+02 -2.329200e+04
     17 +1.600000e-02 +0.000000e+00 +1.046591e+02 -2.329200e+04
     18 +1.700000e-02 +0.000000e+00 +1.045942e+02 -2.329200e+04
     19 +1.800000e-02 +0.000000e+00 +1.045219e+02 -2.329200e+04
     20 +1.900000e-02 +0.000000e+00 +1.044470e+02 -2.329200e+04
     21 +2.000000e-02 +0.000000e+00 +1.043740e+02 -2.329200e+04
     22 +2.100000e-02 +0.000000e+00 +1.043067e+02 -2.329200e+04
     23 +2.200000e-02 +0.000000e+00 +1.042476e+02 -2.329200e+04
     24 +2.300000e-02 +0.000000e+00 +1.041978e+02 -2.329200e+04
     25 +2.400000e-02 +0.000000e+00 +1.041569e+02 -2.329200e+04
     26 +2.500000e-02 +0.000000e+00 +1.041242e+02 -2.329200e+04
     27 +2.600000e-02 +0.000000e+00 +1.040998e+02 -2.329200e+04
     28 +2.700000e-02 +0.000000e+00 +1.040843e+02 -2.329200e+04
     29 +2.800000e-02 +0.000000e+00 +1.040796e+02 -2.329200e+04
     30 +2.800000e-02 +0.000000e+00 +1.040796e+02 +0.000000e+00
     31 +2.800000e-02 +1.007310e-03 +1.036048e+02 +0.000000e+00
     32 +2.800000e-02 +2.014620e-03 +1.031169e+02 +0.000000e+00
     33 +2.800000e-02 +3.021930e-03 +1.026092e+02 +0.000000e+00
     34 +2.800000e-02 +4.029240e-03 +1.020525e+02 +0.000000e+00
     35 +2.800000e-02 +5.036550e-03 +1.013508e+02 +0.000000e+00
     36 +2.800000e-02 +6.043860e-03 +1.004640e+02 +0.000000e+00
     37 +2.800000e-02 +7.051170e-03 +9.956275e+01 +0.000000e+00
     38 +2.800000e-02 +8.058479e-03 +9.871410e+01 +0.000000e+00
     39 +2.800000e-02 +9.065789e-03 +9.792416e+01 +0.000000e+00
     40 +2.800000e-02 +1.007310e-02 +9.719301e+01 +0.000000e+00
     41 +2.800000e-02 +1.108041e-02 +9.652006e+01 +0.000000e+00
     42 +2.800000e-02 +1.208772e-02 +9.590462e+01 +0.000000e+00
     43 +2.800000e-02 +1.309503e-02 +9.534599e+01 +0.000000e+00
     44 +2.800000e-02 +1.410234e-02 +9.484349e+01 +0.000000e+00
     45 +2.800000e-02 +1.510965e-02 +9.439648e+01 +0.000000e+00
     46 +2.800000e-02 +1.611696e-02 +9.400421e+01 +0.000000e+00
     47 +2.800000e-02 +1.712427e-02 +9.366566e+01 +0.000000e+00
     48 +2.800000e-02 +1.813158e-02 +9.337982e+01 +0.000000e+00
     49 +2.800000e-02 +1.913889e-02 +9.314608e+01 +0.000000e+00
     50 +2.800000e-02 +2.014620e-02 +9.296410e+01 +0.000000e+00
     51 +2.800000e-02 +2.115351e-02 +9.283357e+01 +0.000000e+00
     52 +2.800000e-02 +2.216082e-02 +9.275596e+01 +0.000000e+00
     53 +2.800000e-02 +2.216082e-02 +9.275596e+01 +2.565357e+03
     54 +2.700000e-02 +2.216082e-02 +9.273043e+01 +2.563826e+03
     55 +2.700000e-02 +2.216082e-02 +9.273043e+01 +2.563826e+03
     56 +2.700000e-02 +2.115136e-02 +9.280817e+01 +2.568490e+03
     57 +2.700000e-02 +2.014190e-02 +9.293908e+01 +2.576345e+03
     58 +2.700000e-02 +1.913244e-02 +9.312165e+01 +2.587299e+03
     59 +2.700000e-02 +1.812298e-02 +9.335619e+01 +2.601372e+03
     60 +2.700000e-02 +1.711352e-02 +9.364288e+01 +2.618573e+03
     61 +2.700000e-02 +1.610406e-02 +9.398219e+01 +2.638931e+03
     62 +2.700000e-02 +1.509460e-02 +9.437552e+01 +2.662531e+03
     63 +2.700000e-02 +1.408514e-02 +9.482400e+01 +2.689440e+03
     64 +2.700000e-02 +1.307568e-02 +9.532825e+01 +2.719695e+03
     65 +2.700000e-02 +1.206622e-02 +9.588887e+01 +2.753332e+03
     66 +2.700000e-02 +1.105676e-02 +9.650649e+01 +2.790390e+03
     67 +2.700000e-02 +1.004730e-02 +9.718184e+01 +2.830910e+03
     68 +2.700000e-02 +9.037840e-03 +9.791562e+01 +2.874937e+03
     69 +2.700000e-02 +8.028380e-03 +9.870850e+01 +2.922510e+03
     70 +2.700000e-02 +7.018920e-03 +9.956096e+01 +2.973657e+03
     71 +2.700000e-02 +6.009460e-03 +1.004757e+02 +3.028541e+03
     72 +2.700000e-02 +5.000000e-03 +1.015522e+02 +3.093133e+03
     73 +2.700000e-02 +5.000000e-03 +1.015522e+02 +3.093133e+03
     74 +2.600000e-02 +5.000000e-03 +1.019528e+02 +3.117169e+03
     75 +2.500000e-02 +5.000000e-03 +1.016033e+02 +3.096198e+03
     76 +2.500000e-02 +5.000000e-03 +1.016033e+02 +3.096198e+03
     77 +2.500000e-02 +6.034641e-03 +1.003040e+02 +3.018241e+03
     78 +2.500000e-02 +7.069282e-03 +9.914400e+01 +2.948640e+03
     79 +2.500000e-02 +8.103923e-03 +9.810216e+01 +2.886129e+03
     80 +2.500000e-02 +9.138564e-03 +9.718101e+01 +2.830861e+03
     81 +2.500000e-02 +1.017321e-02 +9.637929e+01 +2.782757e+03
     82 +2.500000e-02 +1.120785e-02 +9.569518e+01 +2.741711e+03
     83 +2.500000e-02 +1.224249e-02 +9.512700e+01 +2.707620e+03
     84 +2.500000e-02 +1.327713e-02 +9.467329e+01 +2.680398e+03
     85 +2.500000e-02 +1.431177e-02 +9.433289e+01 +2.659973e+03
     86 +2.500000e-02 +1.534641e-02 +9.410480e+01 +2.646288e+03
     87 +2.500000e-02 +1.638105e-02 +9.399228e+01 +2.639537e+03
     88 +2.500000e-02 +1.638105e-02 +9.399228e+01 +2.639537e+03
     89 +2.400000e-02 +1.638105e-02 +9.399128e+01 +2.639477e+03
     90 +2.400000e-02 +1.638105e-02 +9.399128e+01 +2.639477e+03
     91 +2.400000e-02 +1.534641e-02 +9.410432e+01 +2.646259e+03
     92 +2.400000e-02 +1.431177e-02 +9.433240e+01 +2.659944e+03
     93 +2.400000e-02 +1.327713e-02 +9.467280e+01 +2.680368e+03
     94 +2.400000e-02 +1.224249e-02 +9.512649e+01 +2.707590e+03
     95 +2.400000e-02 +1.120785e-02 +9.569466e+01 +2.741680e+03
     96 +2.400000e-02 +1.017321e-02 +9.637876e+01 +2.782726e+03
     97 +2.400000e-02 +9.138564e-03 +9.718049e+01 +2.830829e+03
     98 +2.400000e-02 +8.103923e-03 +9.810171e+01 +2.886102e+03
     99 +2.400000e-02 +7.069282e-03 +9.914383e+01 +2.948630e+03
    100 +2.400000e-02 +6.034641e-03 +1.003048e+02 +3.018287e+03
    101 +2.400000e-02 +5.000000e-03 +1.016196e+02 +3.097178e+03
    102 +2.400000e-02 +5.000000e-03 +1.016196e+02 +3.097178e+03
    103 +2.300000e-02 +5.000000e-03 +1.020252e+02 +3.121513e+03
    104 +2.200000e-02 +5.000000e-03 +1.016064e+02 +3.096382e+03
    105 +2.200000e-02 +5.000000e-03 +1.016064e+02 +3.096382e+03
    106 +2.200000e-02 +6.002151e-03 +1.001194e+02 +3.007162e+03
    107 +2.200000e-02 +7.004303e-03 +9.876205e+01 +2.925723e+03
    108 +2.200000e-02 +8.006454e-03 +9.751486e+01 +2.850892e+03
    109 +2.200000e-02 +9.008605e-03 +9.638101e+01 +2.782861e+03
    110 +2.200000e-02 +1.001076e-02 +9.535900e+01 +2.721540e+03
    111 +2.200000e-02 +1.101291e-02 +9.444665e+01 +2.666799e+03
    112 +2.200000e-02 +1.201506e-02 +9.364184e+01 +2.618510e+03
    113 +2.200000e-02 +1.301721e-02 +9.294265e+01 +2.576559e+03
    114 +2.200000e-02 +1.401936e-02 +9.234740e+01 +2.540844e+03
    115 +2.200000e-02 +1.502151e-02 +9.185464e+01 +2.511279e+03
    116 +2.200000e-02 +1.602366e-02 +9.146293e+01 +2.487776e+03
    117 +2.200000e-02 +1.702582e-02 +9.117027e+01 +2.470216e+03
    118 +2.200000e-02 +1.802797e-02 +9.097432e+01 +2.458459e+03
    119 +2.200000e-02 +1.903012e-02 +9.087748e+01 +2.452649e+03
    120 +2.200000e-02 +1.903012e-02 +9.087748e+01 +2.452649e+03
    121 +2.100000e-02 +1.903012e-02 +9.087756e+01 +2.452653e+03
    122 +2.100000e-02 +1.903012e-02 +9.087756e+01 +2.452653e+03
    123 +2.100000e-02 +1.802797e-02 +9.097435e+01 +2.458461e+03
    124 +2.100000e-02 +1.702582e-02 +9.117028e+01 +2.470217e+03
    125 +2.100000e-02 +1.602366e-02 +9.146293e+01 +2.487776e+03
    126 +2.100000e-02 +1.502151e-02 +9.185463e+01 +2.511278e+03
    127 +2.100000e-02 +1.401936e-02 +9.234739e+01 +2.540844e+03
    128 +2.100000e-02 +1.301721e-02 +9.294264e+01 +2.576558e+03
    129 +2.100000e-02 +1.201506e-02 +9.364182e+01 +2.618509e+03
    130 +2.100000e-02 +1.101291e-02 +9.444663e+01 +2.666798e+03
    131 +2.100000e-02 +1.001076e-02 +9.535898e+01 +2.721539e+03
    132 +2.100000e-02 +9.008605e-03 +9.638099e+01 +2.782859e+03
    133 +2.100000e-02 +8.006454e-03 +9.751483e+01 +2.850890e+03
    134 +2.100000e-02 +7.004303e-03 +9.876197e+01 +2.925718e+03
    135 +2.100000e-02 +6.002151e-03 +1.001201e+02 +3.007206e+03
    136 +2.100000e-02 +5.000000e-03 +1.016467e+02 +3.098805e+03
    137 +2.100000e-02 +5.000000e-03 +1.016467e+02 +3.098805e+03
    138 +2.000000e-02 +5.000000e-03 +1.022177e+02 +3.133060e+03
    139 +1.900000e-02 +5.000000e-03 +1.019660e+02 +3.117958e+03
    140 +1.900000e-02 +5.000000e-03 +1.019660e+02 +3.117958e+03
    141 +1.900000e-02 +6.035079e-03 +1.006776e+02 +3.040656e+03
    142 +1.900000e-02 +7.070157e-03 +9.950241e+01 +2.970145e+03
    143 +1.900000e-02 +8.105236e-03 +9.844771e+01 +2.906863e+03
    144 +1.900000e-02 +9.140315e-03 +9.751632e+01 +2.850979e+03
    145 +1.900000e-02 +1.017539e-02 +9.670665e+01 +2.802399e+03
    146 +1.900000e-02 +1.121047e-02 +9.601651e+01 +2.760991e+03
    147 +1.900000e-02 +1.224555e-02 +9.544361e+01 +2.726617e+03
    148 +1.900000e-02 +1.328063e-02 +9.498613e+01 +2.699168e+03
    149 +1.900000e-02 +1.431571e-02 +9.464292e+01 +2.678575e+03
    150 +1.900000e-02 +1.535079e-02 +9.441309e+01 +2.664785e+03
    151 +1.900000e-02 +1.638587e-02 +9.429937e+01 +2.657962e+03
    152 +1.900000e-02 +1.638587e-02 +9.429937e+01 +2.657962e+03
    153 +1.800000e-02 +1.638587e-02 +9.430036e+01 +2.658022e+03
    154 +1.800000e-02 +1.638587e-02 +9.430036e+01 +2.658022e+03
    155 +1.800000e-02 +1.535079e-02 +9.441346e+01 +2.664808e+03
    156 +1.800000e-02 +1.431571e-02 +9.464327e+01 +2.678596e+03
    157 +1.800000e-02 +1.328063e-02 +9.498657e+01 +2.699194e+03
    158 +1.800000e-02 +1.224555e-02 +9.544415e+01 +2.726649e+03
    159 +1.800000e-02 +1.121047e-02 +9.601684e+01 +2.761010e+03
    160 +1.800000e-02 +1.017539e-02 +9.670664e+01 +2.802399e+03
    161 +1.800000e-02 +9.140315e-03 +9.751619e+01 +2.850971e+03
    162 +1.800000e-02 +8.105236e-03 +9.844747e+01 +2.906848e+03
    163 +1.800000e-02 +7.070157e-03 +9.950169e+01 +2.970101e+03
    164 +1.800000e-02 +6.035079e-03 +1.006770e+02 +3.040622e+03
    165 +1.800000e-02 +5.000000e-03 +1.020419e+02 +3.122513e+03
    166 +1.800000e-02 +5.000000e-03 +1.020419e+02 +3.122513e+03
    167 +1.700000e-02 +5.000000e-03 +1.025985e+02 +3.155908e+03
    168 +1.600000e-02 +5.000000e-03 +1.025131e+02 +3.150785e+03
    169 +1.600000e-02 +5.000000e-03 +1.025131e+02 +3.150785e+03
    170 +1.600000e-02 +6.021611e-03 +1.017672e+02 +3.106030e+03
    171 +1.600000e-02 +7.043221e-03 +1.011361e+02 +3.068163e+03
    172 +1.600000e-02 +8.064832e-03 +1.006274e+02 +3.037645e+03
    173 +1.600000e-02 +9.086442e-03 +1.002444e+02 +3.014667e+03
    174 +1.600000e-02 +1.010805e-02 +9.998689e+01 +2.999213e+03
    175 +1.600000e-02 +1.112966e-02 +9.985844e+01 +2.991506e+03
    176 +1.600000e-02 +1.112966e-02 +9.985844e+01 +2.991506e+03
    177 +1.500000e-02 +1.112966e-02 +9.985837e+01 +2.991502e+03
    178 +1.500000e-02 +1.112966e-02 +9.985837e+01 +2.991502e+03
    179 +1.500000e-02 +1.010805e-02 +9.998686e+01 +2.999212e+03
    180 +1.500000e-02 +9.086442e-03 +1.002444e+02 +3.014665e+03
    181 +1.500000e-02 +8.064832e-03 +1.006274e+02 +3.037643e+03
    182 +1.500000e-02 +7.043221e-03 +1.011359e+02 +3.068155e+03
    183 +1.500000e-02 +6.021611e-03 +1.017676e+02 +3.106053e+03
    184 +1.500000e-02 +5.000000e-03 +1.025493e+02 +3.152957e+03
    185 +1.500000e-02 +5.000000e-03 +1.025493e+02 +3.152957e+03
    186 +1.400000e-02 +5.000000e-03 +1.027720e+02 +3.166319e+03
    187 +1.300000e-02 +5.000000e-03 +1.023712e+02 +3.142274e+03
    188 +1.300000e-02 +5.000000e-03 +1.023712e+02 +3.142274e+03
    189 +1.300000e-02 +6.038679e-03 +1.011239e+02 +3.067433e+03
    190 +1.300000e-02 +7.077358e-03 +1.000351e+02 +3.002108e+03
    191 +1.300000e-02 +8.116037e-03 +9.906888e+01 +2.944133e+03
    192 +1.300000e-02 +9.154716e-03 +9.822781e+01 +2.893669e+03
    193 +1.300000e-02 +1.019340e-02 +9.751095e+01 +2.850657e+03
    194 +1.300000e-02 +1.123207e-02 +9.691647e+01 +2.814988e+03
    195 +1.300000e-02 +1.227075e-02 +9.644196e+01 +2.786518e+03
    196 +1.300000e-02 +1.330943e-02 +9.608565e+01 +2.765139e+03
    197 +1.300000e-02 +1.434811e-02 +9.584683e+01 +2.750810e+03
    198 +1.300000e-02 +1.538679e-02 +9.572900e+01 +2.743740e+03
    199 +1.300000e-02 +1.538679e-02 +9.572900e+01 +2.743740e+03
    200 +1.200000e-02 +1.538679e-02 +9.572827e+01 +2.743696e+03
    201 +1.200000e-02 +1.538679e-02 +9.572827e+01 +2.743696e+03
    202 +1.200000e-02 +1.434811e-02 +9.584654e+01 +2.750792e+03
    203 +1.200000e-02 +1.330943e-02 +9.608528e+01 +2.765117e+03
    204 +1.200000e-02 +1.227075e-02 +9.644150e+01 +2.786490e+03
    205 +1.200000e-02 +1.123207e-02 +9.691620e+01 +2.814972e+03
    206 +1.200000e-02 +1.019340e-02 +9.751101e+01 +2.850660e+03
    207 +1.200000e-02 +9.154716e-03 +9.822801e+01 +2.893680e+03
    208 +1.200000e-02 +8.116037e-03 +9.906919e+01 +2.944152e+03
    209 +1.200000e-02 +7.077358e-03 +1.000359e+02 +3.002156e+03
    210 +1.200000e-02 +6.038679e-03 +1.011258e+02 +3.067547e+03
    211 +1.200000e-02 +5.000000e-03 +1.023541e+02 +3.141247e+03
    212 +1.200000e-02 +5.000000e-03 +1.023541e+02 +3.141247e+03
    213 +1.100000e-02 +5.000000e-03 +1.026626e+02 +3.159759e+03
    214 +1.000000e-02 +5.000000e-03 +1.020998e+02 +3.125991e+03
    215 +1.000000e-02 +5.000000e-03 +1.020998e+02 +3.125991e+03
    216 +1.000000e-02 +5.984212e-03 +1.003582e+02 +3.021492e+03
    217 +1.000000e-02 +6.968424e-03 +9.875670e+01 +2.925402e+03
    218 +1.000000e-02 +7.952636e-03 +9.726035e+01 +2.835621e+03
    219 +1.000000e-02 +8.936848e-03 +9.587260e+01 +2.752356e+03
    220 +1.000000e-02 +9.921060e-03 +9.459169e+01 +2.675501e+03
    221 +1.000000e-02 +1.090527e-02 +9.341502e+01 +2.604901e+03
    222 +1.000000e-02 +1.188948e-02 +9.233993e+01 +2.540396e+03
    223 +1.000000e-02 +1.287370e-02 +9.136398e+01 +2.481839e+03
    224 +1.000000e-02 +1.385791e-02 +9.048493e+01 +2.429096e+03
    225 +1.000000e-02 +1.484212e-02 +8.970074e+01 +2.382044e+03
    226 +1.000000e-02 +1.582633e-02 +8.900920e+01 +2.340552e+03
    227 +1.000000e-02 +1.681054e-02 +8.840777e+01 +2.304466e+03
    228 +1.000000e-02 +1.779476e-02 +8.789470e+01 +2.273682e+03
    229 +1.000000e-02 +1.877897e-02 +8.746868e+01 +2.248121e+03
    230 +1.000000e-02 +1.976318e-02 +8.712842e+01 +2.227705e+03
    231 +1.000000e-02 +2.074739e-02 +8.687285e+01 +2.212371e+03
    232 +1.000000e-02 +2.173160e-02 +8.670125e+01 +2.202075e+03
    233 +1.000000e-02 +2.271582e-02 +8.661617e+01 +2.196970e+03
    234 +1.000000e-02 +2.271582e-02 +8.661617e+01 +2.196970e+03
