%_node_ ______x1_____ ______x2_____ ______T______ ______q______
      1 +0.000000e+00 +0.000000e+00 +9.940962e+01 -2.329200e+04
      2 +1.000000e-03 +0.000000e+00 +9.940654e+01 -2.329200e+04
      3 +2.000000e-03 +0.000000e+00 +9.939665e+01 -2.329200e+04
      4 +3.000000e-03 +0.000000e+00 +9.937982e+01 -2.329200e+04
      5 +4.000000e-03 +0.000000e+00 +9.935593e+01 -2.329200e+04
      6 +5.000000e-03 +0.000000e+00 +9.932530e+01 -2.329200e+04
      7 +6.000000e-03 +0.000000e+00 +9.928881e+01 -2.329200e+04
      8 +7.000000e-03 +0.000000e+00 +9.924787e+01 -2.329200e+04
      9 +8.000000e-03 +0.000000e+00 +9.920421e+01 -2.329200e+04
     10 +9.000000e-03 +0.000000e+00 +9.915958e+01 -2.329200e+04
     11 +1.000000e-02 +0.000000e+00 +9.911512e+01 -2.329200e+04
     12 +1.100000e-02 +0.000000e+00 +9.907079e+01 -2.329200e+04
     13 +1.200000e-02 +0.000000e+00 +9.902558e+01 -2.329200e+04
     14 +1.300000e-02 +0.000000e+00 +9.897835e+01 -2.329200e+04
     15 +1.400000e-02 +0.000000e+00 +9.892871e+01 -2.329200e+04
     16 +1.500000e-02 +0.000000e+00 +9.887735e+01 -2.329200e+04
     17 +1.600000e-02 +0.000000e+00 +9.882583e+01 -2.329200e+04
     18 +1.700000e-02 +0.000000e+00 +9.877621e+01 -2.329200e+04
     19 +1.800000e-02 +0.000000e+00 +9.873067e+01 -2.329200e+04
     20 +1.900000e-02 +0.000000e+00 +9.869110e+01 -2.329200e+04
     21 +2.000000e-02 +0.000000e+00 +9.865865e+01 -2.329200e+04
     22 +2.100000e-02 +0.000000e+00 +9.863367e+01 -2.329200e+04
     23 +2.200000e-02 +0.000000e+00 +9.861598e+01 -2.329200e+04
     24 +2.300000e-02 +0.000000e+00 +9.860498e+01 -2.329200e+04
     25 +2.400000e-02 +0.000000e+00 +9.859970e+01 -2.329200e+04
     26 +2.500000e-02 +0.000000e+00 +9.859877e+01 -2.329200e+04
     27 +2.600000e-02 +0.000000e+00 +9.860035e+01 -2.329200e+04
     28 +2.700000e-02 +0.000000e+00 +9.860236e+01 -2.329200e+04
     29 +2.800000e-02 +0.000000e+00 +9.860306e+01 -2.329200e+04
     30 +2.800000e-02 +0.000000e+00 +9.860306e+01 +0.000000e+00
     31 +2.800000e-02 +9.868886e-04 +9.848916e+01 +0.000000e+00
     32 +2.800000e-02 +1.973777e-03 +9.837776e+01 +0.000000e+00
     33 +2.800000e-02 +2.960666e-03 +9.827056e+01 +0.000000e+00
     34 +2.800000e-02 +3.947554e-03 +9.816914e+01 +0.000000e+00
     35 +2.800000e-02 +4.934443e-03 +9.806853e+01 +0.000000e+00
     36 +2.800000e-02 +5.921332e-03 +9.795956e+01 +0.000000e+00
     37 +2.800000e-02 +6.908220e-03 +9.785441e+01 +0.000000e+00
     38 +2.800000e-02 +7.895109e-03 +9.776165e+01 +0.000000e+00
     39 +2.800000e-02 +8.881998e-03 +9.768271e+01 +0.000000e+00
     40 +2.800000e-02 +9.868886e-03 +9.761785e+01 +0.000000e+00
     41 +2.800000e-02 +1.085577e-02 +9.756712e+01 +0.000000e+00
     42 +2.800000e-02 +1.184266e-02 +9.753050e+01 +0.000000e+00
     43 +2.800000e-02 +1.282955e-02 +9.750861e+01 +0.000000e+00
     44 +2.800000e-02 +1.282955e-02 +9.750861e+01 +2.850517e+03
     45 +2.700000e-02 +1.282955e-02 +9.750107e+01 +2.850064e+03
     46 +2.700000e-02 +1.282955e-02 +9.750107e+01 +2.850064e+03
     47 +2.700000e-02 +1.185086e-02 +9.752294e+01 +2.851377e+03
     48 +2.700000e-02 +1.087216e-02 +9.755909e+01 +2.853545e+03
     49 +2.700000e-02 +9.893470e-03 +9.760910e+01 +2.856546e+03
