%_node_ ______x1_____ ______x2_____ ______T______ ______q______
      1 +0.000000e+00 +0.000000e+00 +9.794955e+01 -2.329200e+04
      2 +1.000000e-03 +0.000000e+00 +9.793991e+01 -2.329200e+04
      3 +2.000000e-03 +0.000000e+00 +9.790983e+01 -2.329200e+04
      4 +3.000000e-03 +0.000000e+00 +9.786551e+01 -2.329200e+04
      5 +4.000000e-03 +0.000000e+00 +9.781261e+01 -2.329200e+04
      6 +5.000000e-03 +0.000000e+00 +9.775419e+01 -2.329200e+04
      7 +6.000000e-03 +0.000000e+00 +9.769042e+01 -2.329200e+04
      8 +7.000000e-03 +0.000000e+00 +9.762101e+01 -2.329200e+04
      9 +8.000000e-03 +0.000000e+00 +9.754739e+01 -2.329200e+04
     10 +9.000000e-03 +0.000000e+00 +9.747327e+01 -2.329200e+04
     11 +1.000000e-02 +0.000000e+00 +9.740348e+01 -2.329200e+04
     12 +1.100000e-02 +0.000000e+00 +9.734197e+01 -2.329200e+04
     13 +1.200000e-02 +0.000000e+00 +9.729094e+01 -2.329200e+04
     14 +1.300000e-02 +0.000000e+00 +9.725088e+01 -2.329200e+04
     15 +1.400000e-02 +0.000000e+00 +9.722043e+01 -2.329200e+04
     16 +1.500000e-02 +0.000000e+00 +9.719696e+01 -2.329200e+04
     17 +1.600000e-02 +0.000000e+00 +9.717784e+01 -2.329200e+04
     18 +1.700000e-02 +0.000000e+00 +9.716116e+01 -2.329200e+04
     19 +1.800000e-02 +0.000000e+00 +9.714592e+01 -2.329200e+04
     20 +1.900000e-02 +0.000000e+00 +9.713188e+01 -2.329200e+04
     21 +2.000000e-02 +0.000000e+00 +9.711884e+01 -2.329200e+04
     22 +2.100000e-02 +0.000000e+00 +9.710654e+01 -2.329200e+04
     23 +2.200000e-02 +0.000000e+00 +9.709489e+01 -2.329200e+04
     24 +2.300000e-02 +0.000000e+00 +9.708398e+01 -2.329200e+04
     25 +2.400000e-02 +0.000000e+00 +9.707407e+01 -2.329200e+04
     26 +2.500000e-02 +0.000000e+00 +9.706563e+01 -2.329200e+04
     27 +2.600000e-02 +0.000000e+00 +9.705902e+01 -2.329200e+04
     28 +2.700000e-02 +0.000000e+00 +9.705465e+01 -2.329200e+04
     29 +2.800000e-02 +0.000000e+00 +9.705341e+01 -2.329200e+04
     30 +2.800000e-02 +0.000000e+00 +9.705341e+01 +0.000000e+00
     31 +2.800000e-02 +9.924185e-04 +9.658937e+01 +0.000000e+00
     32 +2.800000e-02 +1.984837e-03 +9.612105e+01 +0.000000e+00
     33 +2.800000e-02 +2.977256e-03 +9.564382e+01 +0.000000e+00
     34 +2.800000e-02 +3.969674e-03 +9.513644e+01 +0.000000e+00
     35 +2.800000e-02 +4.962093e-03 +9.452250e+01 +0.000000e+00
     36 +2.800000e-02 +5.954511e-03 +9.374894e+01 +0.000000e+00
     37 +2.800000e-02 +6.946930e-03 +9.295154e+01 +0.000000e+00
     38 +2.800000e-02 +7.939348e-03 +9.219611e+01 +0.000000e+00
     39 +2.800000e-02 +8.931767e-03 +9.148968e+01 +0.000000e+00
     40 +2.800000e-02 +9.924185e-03 +9.083256e+01 +0.000000e+00
     41 +2.800000e-02 +1.091660e-02 +9.022427e+01 +0.000000e+00
     42 +2.800000e-02 +1.190902e-02 +8.966419e+01 +0.000000e+00
     43 +2.800000e-02 +1.290144e-02 +8.915170e+01 +0.000000e+00
     44 +2.800000e-02 +1.389386e-02 +8.868621e+01 +0.000000e+00
     45 +2.800000e-02 +1.488628e-02 +8.826717e+01 +0.000000e+00
     46 +2.800000e-02 +1.587870e-02 +8.789409e+01 +0.000000e+00
     47 +2.800000e-02 +1.687111e-02 +8.756652e+01 +0.000000e+00
     48 +2.800000e-02 +1.786353e-02 +8.728401e+01 +0.000000e+00
