%_node_ ______x1_____ ______x2_____ ______T______ ______q______
      1 +0.000000e+00 +0.000000e+00 +1.035540e+02 -2.329200e+04
      2 +1.000000e-03 +0.000000e+00 +1.035597e+02 -2.329200e+04
      3 +2.000000e-03 +0.000000e+00 +1.035783e+02 -2.329200e+04
      4 +3.000000e-03 +0.000000e+00 +1.036095e+02 -2.329200e+04
      5 +4.000000e-03 +0.000000e+00 +1.036536e+02 -2.329200e+04
      6 +5.000000e-03 +0.000000e+00 +1.037106e+02 -2.329200e+04
      7 +6.000000e-03 +0.000000e+00 +1.037795e+02 -2.329200e+04
      8 +7.000000e-03 +0.000000e+00 +1.038574e+02 -2.329200e+04
      9 +8.000000e-03 +0.000000e+00 +1.039395e+02 -2.329200e+04
     10 +9.000000e-03 +0.000000e+00 +1.040198e+02 -2.329200e+04
     11 +1.000000e-02 +0.000000e+00 +1.040944e+02 -2.329200e+04
     12 +1.100000e-02 +0.000000e+00 +1.041629e+02 -2.329200e+04
     13 +1.200000e-02 +0.000000e+00 +1.042292e+02 -2.329200e+04
     14 +1.300000e-02 +0.000000e+00 +1.042983e+02 -2.329200e+04
     15 +1.400000e-02 +0.000000e+00 +1.043740e+02 -2.329200e+04
     16 +1.500000e-02 +0.000000e+00 +1.044570e+02 -2.329200e+04
     17 +1.600000e-02 +0.000000e+00 +1.045460e+02 -2.329200e+04
     18 +1.700000e-02 +0.000000e+00 +1.046379e+02 -2.329200e+04
     19 +1.800000e-02 +0.000000e+00 +1.047280e+02 -2.329200e+04
     20 +1.900000e-02 +0.000000e+00 +1.048122e+02 -2.329200e+04
     21 +2.000000e-02 +0.000000e+00 +1.048865e+02 -2.329200e+04
     22 +2.100000e-02 +0.000000e+00 +1.049484e+02 -2.329200e+04
     23 +2.200000e-02 +0.000000e+00 +1.049962e+02 -2.329200e+04
     24 +2.300000e-02 +0.000000e+00 +1.050295e+02 -2.329200e+04
     25 +2.400000e-02 +0.000000e+00 +1.050492e+02 -2.329200e+04
     26 +2.500000e-02 +0.000000e+00 +1.050573e+02 -2.329200e+04
     27 +2.600000e-02 +0.000000e+00 +1.050577e+02 -2.329200e+04
     28 +2.700000e-02 +0.000000e+00 +1.050551e+02 -2.329200e+04
     29 +2.800000e-02 +0.000000e+00 +1.050542e+02 -2.329200e+04
     30 +2.800000e-02 +0.000000e+00 +1.050542e+02 +0.000000e+00
     31 +2.800000e-02 +9.853870e-04 +1.045930e+02 +0.000000e+00
     32 +2.800000e-02 +1.970774e-03 +1.041256e+02 +0.000000e+00
     33 +2.800000e-02 +2.956161e-03 +1.036416e+02 +0.000000e+00
     34 +2.800000e-02 +3.941548e-03 +1.031079e+02 +0.000000e+00
     35 +2.800000e-02 +4.926935e-03 +1.024289e+02 +0.000000e+00
     36 +2.800000e-02 +5.912322e-03 +1.015446e+02 +0.000000e+00
     37 +2.800000e-02 +6.897709e-03 +1.006248e+02 +0.000000e+00
     38 +2.800000e-02 +7.883096e-03 +9.975354e+01 +0.000000e+00
     39 +2.800000e-02 +8.868483e-03 +9.893922e+01 +0.000000e+00
     40 +2.800000e-02 +9.853870e-03 +9.818215e+01 +0.000000e+00
     41 +2.800000e-02 +1.083926e-02 +9.748176e+01 +0.000000e+00
     42 +2.800000e-02 +1.182464e-02 +9.683729e+01 +0.000000e+00
     43 +2.800000e-02 +1.281003e-02 +9.624773e+01 +0.000000e+00
     44 +2.800000e-02 +1.379542e-02 +9.571184e+01 +0.000000e+00
     45 +2.800000e-02 +1.478080e-02 +9.522851e+01 +0.000000e+00
     46 +2.800000e-02 +1.576619e-02 +9.479705e+01 +0.000000e+00
     47 +2.800000e-02 +1.675158e-02 +9.441704e+01 +0.000000e+00
     48 +2.800000e-02 +1.773697e-02 +9.408815e+01 +0.000000e+00
     49 +2.800000e-02 +1.872235e-02 +9.381007e+01 +0.000000e+00
     50 +2.800000e-02 +1.970774e-02 +9.358250e+01 +0.000000e+00
     51 +2.800000e-02 +2.069313e-02 +9.340513e+01 +0.000000e+00
     52 +2.800000e-02 +2.167851e-02 +9.327763e+01 +0.000000e+00
     53 +2.800000e-02 +2.266390e-02 +9.320151e+01 +0.000000e+00
     54 +2.800000e-02 +2.266390e-02 +9.320151e+01 +2.592090e+03
     55 +2.700000e-02 +2.266390e-02 +9.317565e+01 +2.590539e+03
     56 +2.700000e-02 +2.266390e-02 +9.317565e+01 +2.590539e+03
     57 +2.700000e-02 +2.168257e-02 +9.325129e+01 +2.595077e+03
     58 +2.700000e-02 +2.070124e-02 +9.337789e+01 +2.602674e+03
     59 +2.700000e-02 +1.971992e-02 +9.355392e+01 +2.613235e+03
     60 +2.700000e-02 +1.873859e-02 +9.377972e+01 +2.626783e+03
     61 +2.700000e-02 +1.775726e-02 +9.405558e+01 +2.643335e+03
     62 +2.700000e-02 +1.677593e-02 +9.438180e+01 +2.662908e+03
     63 +2.700000e-02 +1.579461e-02 +9.475871e+01 +2.685523e+03
     64 +2.700000e-02 +1.481328e-02 +9.518662e+01 +2.711197e+03
     65 +2.700000e-02 +1.383195e-02 +9.566581e+01 +2.739949e+03
     66 +2.700000e-02 +1.285062e-02 +9.619678e+01 +2.771807e+03
     67 +2.700000e-02 +1.186929e-02 +9.678081e+01 +2.806849e+03
     68 +2.700000e-02 +1.088797e-02 +9.741944e+01 +2.845167e+03
     69 +2.700000e-02 +9.906639e-03 +9.811356e+01 +2.886814e+03
     70 +2.700000e-02 +8.925311e-03 +9.886384e+01 +2.931831e+03
     71 +2.700000e-02 +7.943983e-03 +9.967092e+01 +2.980255e+03
     72 +2.700000e-02 +6.962656e-03 +1.005352e+02 +3.032114e+03
     73 +2.700000e-02 +5.981328e-03 +1.014601e+02 +3.087609e+03
     74 +2.700000e-02 +5.000000e-03 +1.025540e+02 +3.153240e+03
     75 +2.700000e-02 +5.000000e-03 +1.025540e+02 +3.153240e+03
     76 +2.600000e-02 +5.000000e-03 +1.030104e+02 +3.180626e+03
     77 +2.500000e-02 +5.000000e-03 +1.027971e+02 +3.167827e+03
     78 +2.500000e-02 +5.000000e-03 +1.027971e+02 +3.167827e+03
     79 +2.500000e-02 +5.971843e-03 +1.018961e+02 +3.113765e+03
     80 +2.500000e-02 +6.943686e-03 +1.011173e+02 +3.067040e+03
     81 +2.500000e-02 +7.915529e-03 +1.004482e+02 +3.026889e+03
     82 +2.500000e-02 +8.887372e-03 +9.989107e+01 +2.993464e+03
     83 +2.500000e-02 +9.859215e-03 +9.944567e+01 +2.966740e+03
     84 +2.500000e-02 +1.083106e-02 +9.911113e+01 +2.946668e+03
     85 +2.500000e-02 +1.180290e-02 +9.888650e+01 +2.933190e+03
     86 +2.500000e-02 +1.277474e-02 +9.877495e+01 +2.926497e+03
     87 +2.500000e-02 +1.277474e-02 +9.877495e+01 +2.926497e+03
     88 +2.400000e-02 +1.277474e-02 +9.877526e+01 +2.926515e+03
     89 +2.400000e-02 +1.277474e-02 +9.877526e+01 +2.926515e+03
     90 +2.400000e-02 +1.180290e-02 +9.888620e+01 +2.933172e+03
     91 +2.400000e-02 +1.083106e-02 +9.911065e+01 +2.946639e+03
     92 +2.400000e-02 +9.859215e-03 +9.944515e+01 +2.966709e+03
     93 +2.400000e-02 +8.887372e-03 +9.989053e+01 +2.993432e+03
     94 +2.400000e-02 +7.915529e-03 +1.004476e+02 +3.026858e+03
     95 +2.400000e-02 +6.943686e-03 +1.011168e+02 +3.067010e+03
     96 +2.400000e-02 +5.971843e-03 +1.018958e+02 +3.113746e+03
     97 +2.400000e-02 +5.000000e-03 +1.028117e+02 +3.168700e+03
     98 +2.400000e-02 +5.000000e-03 +1.028117e+02 +3.168700e+03
     99 +2.300000e-02 +5.000000e-03 +1.030912e+02 +3.185473e+03
    100 +2.200000e-02 +5.000000e-03 +1.027747e+02 +3.166481e+03
    101 +2.200000e-02 +5.000000e-03 +1.027747e+02 +3.166481e+03
    102 +2.200000e-02 +5.952931e-03 +1.018709e+02 +3.112252e+03
    103 +2.200000e-02 +6.905862e-03 +1.011102e+02 +3.066611e+03
    104 +2.200000e-02 +7.858793e-03 +1.004565e+02 +3.027388e+03
    105 +2.200000e-02 +8.811724e-03 +9.991193e+01 +2.994716e+03
    106 +2.200000e-02 +9.764655e-03 +9.947634e+01 +2.968580e+03
    107 +2.200000e-02 +1.071759e-02 +9.914895e+01 +2.948937e+03
    108 +2.200000e-02 +1.167052e-02 +9.892896e+01 +2.935737e+03
    109 +2.200000e-02 +1.262345e-02 +9.882005e+01 +2.929203e+03
    110 +2.200000e-02 +1.262345e-02 +9.882005e+01 +2.929203e+03
    111 +2.100000e-02 +1.262345e-02 +9.881907e+01 +2.929144e+03
    112 +2.100000e-02 +1.262345e-02 +9.881907e+01 +2.929144e+03
    113 +2.100000e-02 +1.167052e-02 +9.892865e+01 +2.935719e+03
    114 +2.100000e-02 +1.071759e-02 +9.914873e+01 +2.948924e+03
    115 +2.100000e-02 +9.764655e-03 +9.947614e+01 +2.968568e+03
    116 +2.100000e-02 +8.811724e-03 +9.991173e+01 +2.994704e+03
    117 +2.100000e-02 +7.858793e-03 +1.004563e+02 +3.027377e+03
    118 +2.100000e-02 +6.905862e-03 +1.011101e+02 +3.066604e+03
    119 +2.100000e-02 +5.952931e-03 +1.018699e+02 +3.112197e+03
    120 +2.100000e-02 +5.000000e-03 +1.027416e+02 +3.164499e+03
    121 +2.100000e-02 +5.000000e-03 +1.027416e+02 +3.164499e+03
    122 +2.000000e-02 +5.000000e-03 +1.029328e+02 +3.175966e+03
    123 +1.900000e-02 +5.000000e-03 +1.025132e+02 +3.150792e+03
    124 +1.900000e-02 +5.000000e-03 +1.025132e+02 +3.150792e+03
    125 +1.900000e-02 +6.057953e-03 +1.014241e+02 +3.085443e+03
    126 +1.900000e-02 +7.115907e-03 +1.005200e+02 +3.031198e+03
    127 +1.900000e-02 +8.173860e-03 +9.974522e+01 +2.984713e+03
    128 +1.900000e-02 +9.231813e-03 +9.910174e+01 +2.946104e+03
    129 +1.900000e-02 +1.028977e-02 +9.858883e+01 +2.915330e+03
    130 +1.900000e-02 +1.134772e-02 +9.820530e+01 +2.892318e+03
    131 +1.900000e-02 +1.240567e-02 +9.794994e+01 +2.876997e+03
    132 +1.900000e-02 +1.346363e-02 +9.782558e+01 +2.869535e+03
    133 +1.900000e-02 +1.346363e-02 +9.782558e+01 +2.869535e+03
    134 +1.800000e-02 +1.346363e-02 +9.782375e+01 +2.869425e+03
    135 +1.800000e-02 +1.346363e-02 +9.782375e+01 +2.869425e+03
    136 +1.800000e-02 +1.240567e-02 +9.794954e+01 +2.876972e+03
    137 +1.800000e-02 +1.134772e-02 +9.820525e+01 +2.892315e+03
    138 +1.800000e-02 +1.028977e-02 +9.858886e+01 +2.915332e+03
    139 +1.800000e-02 +9.231813e-03 +9.910178e+01 +2.946107e+03
    140 +1.800000e-02 +8.173860e-03 +9.974532e+01 +2.984719e+03
    141 +1.800000e-02 +7.115907e-03 +1.005204e+02 +3.031227e+03
    142 +1.800000e-02 +6.057953e-03 +1.014243e+02 +3.085459e+03
    143 +1.800000e-02 +5.000000e-03 +1.024394e+02 +3.146361e+03
    144 +1.800000e-02 +5.000000e-03 +1.024394e+02 +3.146361e+03
    145 +1.700000e-02 +5.000000e-03 +1.025682e+02 +3.154090e+03
    146 +1.600000e-02 +5.000000e-03 +1.019689e+02 +3.118132e+03
    147 +1.600000e-02 +5.000000e-03 +1.019689e+02 +3.118132e+03
    148 +1.600000e-02 +5.965208e-03 +1.005823e+02 +3.034939e+03
    149 +1.600000e-02 +6.930417e-03 +9.937301e+01 +2.962381e+03
    150 +1.600000e-02 +7.895625e-03 +9.826827e+01 +2.896096e+03
    151 +1.600000e-02 +8.860834e-03 +9.727025e+01 +2.836215e+03
    152 +1.600000e-02 +9.826042e-03 +9.637813e+01 +2.782688e+03
    153 +1.600000e-02 +1.079125e-02 +9.559023e+01 +2.735414e+03
    154 +1.600000e-02 +1.175646e-02 +9.490488e+01 +2.694293e+03
    155 +1.600000e-02 +1.272167e-02 +9.432053e+01 +2.659232e+03
    156 +1.600000e-02 +1.368688e-02 +9.383555e+01 +2.630133e+03
    157 +1.600000e-02 +1.465208e-02 +9.344787e+01 +2.606872e+03
    158 +1.600000e-02 +1.561729e-02 +9.315605e+01 +2.589363e+03
    159 +1.600000e-02 +1.658250e-02 +9.295943e+01 +2.577566e+03
    160 +1.600000e-02 +1.754771e-02 +9.286168e+01 +2.571701e+03
    161 +1.600000e-02 +1.754771e-02 +9.286168e+01 +2.571701e+03
    162 +1.500000e-02 +1.754771e-02 +9.286013e+01 +2.571608e+03
    163 +1.500000e-02 +1.754771e-02 +9.286013e+01 +2.571608e+03
    164 +1.500000e-02 +1.658250e-02 +9.295871e+01 +2.577523e+03
    165 +1.500000e-02 +1.561729e-02 +9.315533e+01 +2.589320e+03
    166 +1.500000e-02 +1.465208e-02 +9.344716e+01 +2.606830e+03
    167 +1.500000e-02 +1.368688e-02 +9.383511e+01 +2.630106e+03
    168 +1.500000e-02 +1.272167e-02 +9.432050e+01 +2.659230e+03
    169 +1.500000e-02 +1.175646e-02 +9.490504e+01 +2.694303e+03
    170 +1.500000e-02 +1.079125e-02 +9.559044e+01 +2.735426e+03
    171 +1.500000e-02 +9.826042e-03 +9.637833e+01 +2.782700e+03
    172 +1.500000e-02 +8.860834e-03 +9.727046e+01 +2.836228e+03
    173 +1.500000e-02 +7.895625e-03 +9.826856e+01 +2.896113e+03
    174 +1.500000e-02 +6.930417e-03 +9.937367e+01 +2.962420e+03
    175 +1.500000e-02 +5.965208e-03 +1.005817e+02 +3.034902e+03
    176 +1.500000e-02 +5.000000e-03 +1.018914e+02 +3.113481e+03
    177 +1.500000e-02 +5.000000e-03 +1.018914e+02 +3.113481e+03
    178 +1.400000e-02 +5.000000e-03 +1.021854e+02 +3.131125e+03
    179 +1.300000e-02 +5.000000e-03 +1.016128e+02 +3.096766e+03
    180 +1.300000e-02 +5.000000e-03 +1.016128e+02 +3.096766e+03
    181 +1.300000e-02 +6.011710e-03 +9.999832e+01 +2.999899e+03
    182 +1.300000e-02 +7.023421e-03 +9.854753e+01 +2.912852e+03
    183 +1.300000e-02 +8.035131e-03 +9.720961e+01 +2.832577e+03
    184 +1.300000e-02 +9.046841e-03 +9.598632e+01 +2.759179e+03
    185 +1.300000e-02 +1.005855e-02 +9.487550e+01 +2.692530e+03
    186 +1.300000e-02 +1.107026e-02 +9.387417e+01 +2.632450e+03
    187 +1.300000e-02 +1.208197e-02 +9.297957e+01 +2.578774e+03
    188 +1.300000e-02 +1.309368e-02 +9.218960e+01 +2.531376e+03
    189 +1.300000e-02 +1.410539e-02 +9.150261e+01 +2.490156e+03
    190 +1.300000e-02 +1.511710e-02 +9.091712e+01 +2.455027e+03
    191 +1.300000e-02 +1.612881e-02 +9.043182e+01 +2.425909e+03
