%_node_ ______x1_____ ______x2_____ ______T______ ______q______
      1 +0.000000e+00 +0.000000e+00 +1.014337e+02 -2.329200e+04
      2 +1.000000e-03 +0.000000e+00 +1.014355e+02 -2.329200e+04
      3 +2.000000e-03 +0.000000e+00 +1.014410e+02 -2.329200e+04
      4 +3.000000e-03 +0.000000e+00 +1.014464e+02 -2.329200e+04
      5 +4.000000e-03 +0.000000e+00 +1.014480e+02 -2.329200e+04
      6 +5.000000e-03 +0.000000e+00 +1.014444e+02 -2.329200e+04
      7 +6.000000e-03 +0.000000e+00 +1.014363e+02 -2.329200e+04
      8 +7.000000e-03 +0.000000e+00 +1.014269e+02 -2.329200e+04
      9 +8.000000e-03 +0.000000e+00 +1.014215e+02 -2.329200e+04
     10 +9.000000e-03 +0.000000e+00 +1.014264e+02 -2.329200e+04
     11 +1.000000e-02 +0.000000e+00 +1.014477e+02 -2.329200e+04
     12 +1.100000e-02 +0.000000e+00 +1.014899e+02 -2.329200e+04
     13 +1.200000e-02 +0.000000e+00 +1.015552e+02 -2.329200e+04
     14 +1.300000e-02 +0.000000e+00 +1.016441e+02 -2.329200e+04
     15 +1.400000e-02 +0.000000e+00 +1.017557e+02 -2.329200e+04
     16 +1.500000e-02 +0.000000e+00 +1.018876e+02 -2.329200e+04
     17 +1.600000e-02 +0.000000e+00 +1.020352e+02 -2.329200e+04
     18 +1.700000e-02 +0.000000e+00 +1.021913e+02 -2.329200e+04
     19 +1.800000e-02 +0.000000e+00 +1.023469e+02 -2.329200e+04
     20 +1.900000e-02 +0.000000e+00 +1.024938e+02 -2.329200e+04
     21 +2.000000e-02 +0.000000e+00 +1.026275e+02 -2.329200e+04
     22 +2.100000e-02 +0.000000e+00 +1.027469e+02 -2.329200e+04
     23 +2.200000e-02 +0.000000e+00 +1.028527e+02 -2.329200e+04
     24 +2.300000e-02 +0.000000e+00 +1.029457e+02 -2.329200e+04
     25 +2.400000e-02 +0.000000e+00 +1.030251e+02 -2.329200e+04
     26 +2.500000e-02 +0.000000e+00 +1.030896e+02 -2.329200e+04
     27 +2.600000e-02 +0.000000e+00 +1.031372e+02 -2.329200e+04
     28 +2.700000e-02 +0.000000e+00 +1.031665e+02 -2.329200e+04
     29 +2.800000e-02 +0.000000e+00 +1.031757e+02 -2.329200e+04
     30 +2.800000e-02 +0.000000e+00 +1.031757e+02 +0.000000e+00
     31 +2.800000e-02 +1.031359e-03 +1.027051e+02 +0.000000e+00
     32 +2.800000e-02 +2.062718e-03 +1.022560e+02 +0.000000e+00
     33 +2.800000e-02 +3.094077e-03 +1.018258e+02 +0.000000e+00
     34 +2.800000e-02 +4.125436e-03 +1.013997e+02 +0.000000e+00
     35 +2.800000e-02 +5.156795e-03 +1.009192e+02 +0.000000e+00
     36 +2.800000e-02 +6.188154e-03 +1.003687e+02 +0.000000e+00
     37 +2.800000e-02 +7.219513e-03 +9.984597e+01 +0.000000e+00
     38 +2.800000e-02 +8.250872e-03 +9.938304e+01 +0.000000e+00
     39 +2.800000e-02 +9.282231e-03 +9.898276e+01 +0.000000e+00
     40 +2.800000e-02 +1.031359e-02 +9.864519e+01 +0.000000e+00
     41 +2.800000e-02 +1.134495e-02 +9.837003e+01 +0.000000e+00
     42 +2.800000e-02 +1.237631e-02 +9.815686e+01 +0.000000e+00
     43 +2.800000e-02 +1.340767e-02 +9.800504e+01 +0.000000e+00
     44 +2.800000e-02 +1.443903e-02 +9.791555e+01 +0.000000e+00
     45 +2.800000e-02 +1.443903e-02 +9.791555e+01 +2.874933e+03
     46 +2.700000e-02 +1.443903e-02 +9.788701e+01 +2.873220e+03
     47 +2.700000e-02 +1.443903e-02 +9.788701e+01 +2.873220e+03
     48 +2.700000e-02 +1.339025e-02 +9.797804e+01 +2.878682e+03
     49 +2.700000e-02 +1.234146e-02 +9.813360e+01 +2.888016e+03
     50 +2.700000e-02 +1.129268e-02 +9.835281e+01 +2.901169e+03
     51 +2.700000e-02 +1.024390e-02 +9.863617e+01 +2.918170e+03
     52 +2.700000e-02 +9.195123e-03 +9.898405e+01 +2.939043e+03
     53 +2.700000e-02 +8.146342e-03 +9.939681e+01 +2.963809e+03
     54 +2.700000e-02 +7.097561e-03 +9.987472e+01 +2.992483e+03
     55 +2.700000e-02 +6.048781e-03 +1.004191e+02 +3.025144e+03
     56 +2.700000e-02 +5.000000e-03 +1.010824e+02 +3.064943e+03
     57 +2.700000e-02 +5.000000e-03 +1.010824e+02 +3.064943e+03
     58 +2.600000e-02 +5.000000e-03 +1.012425e+02 +3.074549e+03
     59 +2.500000e-02 +5.000000e-03 +1.008534e+02 +3.051206e+03
     60 +2.500000e-02 +5.000000e-03 +1.008534e+02 +3.051206e+03
     61 +2.500000e-02 +5.948092e-03 +9.989017e+01 +2.993410e+03
     62 +2.500000e-02 +6.896184e-03 +9.907755e+01 +2.944653e+03
     63 +2.500000e-02 +7.844276e-03 +9.836572e+01 +2.901943e+03
     64 +2.500000e-02 +8.792369e-03 +9.775627e+01 +2.865376e+03
     65 +2.500000e-02 +9.740461e-03 +9.724890e+01 +2.834934e+03
     66 +2.500000e-02 +1.068855e-02 +9.684276e+01 +2.810566e+03
     67 +2.500000e-02 +1.163665e-02 +9.653701e+01 +2.792221e+03
     68 +2.500000e-02 +1.258474e-02 +9.633090e+01 +2.779854e+03
     69 +2.500000e-02 +1.353283e-02 +9.622820e+01 +2.773692e+03
     70 +2.500000e-02 +1.353283e-02 +9.622820e+01 +2.773692e+03
     71 +2.400000e-02 +1.353283e-02 +9.622711e+01 +2.773627e+03
     72 +2.400000e-02 +1.353283e-02 +9.622711e+01 +2.773627e+03
     73 +2.400000e-02 +1.258474e-02 +9.633048e+01 +2.779829e+03
     74 +2.400000e-02 +1.163665e-02 +9.653662e+01 +2.792197e+03
     75 +2.400000e-02 +1.068855e-02 +9.684237e+01 +2.810542e+03
     76 +2.400000e-02 +9.740461e-03 +9.724850e+01 +2.834910e+03
     77 +2.400000e-02 +8.792369e-03 +9.775589e+01 +2.865354e+03
     78 +2.400000e-02 +7.844276e-03 +9.836547e+01 +2.901928e+03
     79 +2.400000e-02 +6.896184e-03 +9.907776e+01 +2.944666e+03
     80 +2.400000e-02 +5.948092e-03 +9.988963e+01 +2.993378e+03
     81 +2.400000e-02 +5.000000e-03 +1.007991e+02 +3.047945e+03
     82 +2.400000e-02 +5.000000e-03 +1.007991e+02 +3.047945e+03
     83 +2.300000e-02 +5.000000e-03 +1.009742e+02 +3.058455e+03
     84 +2.200000e-02 +5.000000e-03 +1.004866e+02 +3.029195e+03
     85 +2.200000e-02 +5.000000e-03 +1.004866e+02 +3.029195e+03
