h_aleta_01_m,h_aleta_02_m,h_aleta_03_m,h_aleta_04_m,h_aleta_05_m,h_aleta_06_m,h_aleta_07_m,h_aleta_08_m,h_aleta_09_m,h_aleta_10_m,Lconv_m,TbaseProm_C
0.0112553300705386,0.0158048674016324,0.00500171562226017,0.0095349885894776,0.0072013383622567,0.00638507892153197,0.00779390317066506,0.0101834109056457,0.01095151211346,0.0130822510100504,0.198051211254449,106.681407142857
0.0112879177160494,0.0152782925059514,0.00806678374597276,0.0181717615458642,0.00541081389796889,0.015057012652676,0.0112595720355069,0.0133803474266863,0.00710580407892851,0.00797152233627318,0.234720215831433,98.5249139285715
0.017011168530133,0.019523923635791,0.00970136267238864,0.0153848392350397,0.0181458372844406,0.0184190999525577,0.00627566317054667,0.00558582174849324,0.00754745629346853,0.0181721375514412,0.264351314067026,93.6665330357143
0.00647520250749575,0.0113166143750758,0.0193683429522575,0.0129974792745953,0.0153781567092571,0.00973273446509094,0.0152975139152238,0.0175193850784606,0.00527432416016288,0.0162521647241745,0.264496469091918,93.4565555357143
0.0198329163335974,0.0162224848156976,0.00920665988096608,0.0168391899267723,0.00654839009866463,0.0117184028926386,0.0186289325463964,0.00940421222560519,0.00931663007879523,0.00695042858177417,0.250553149846444,95.6775721428572
0.00529050436805446,0.0151825329940984,0.00817442174000088,0.00898319989058339,0.0123735973892051,0.00580043817675621,0.0136117640823802,0.00720092862358715,0.0138395830535493,0.015496375400314,0.21911981166869,101.58525
0.00653501643241739,0.0112108398172935,0.0154160023659162,0.0112126890429035,0.00574930188419131,0.0130384460887327,0.0149569196782968,0.0127233366808746,0.0191689213398622,0.0137983256075299,0.255286255836089,94.8290269642857
0.0185510287293183,0.00706212056219356,0.00708914520876138,0.0171108693306429,0.010965152554783,0.00748031295675399,0.0189126287059405,0.0102164878961826,0.0162621815470423,0.0158899697802568,0.252638796034176,95.3060644642857
0.0182495913680871,0.0143550831058341,0.0162641365104101,0.0102334751296676,0.00904891837647539,0.018438293272941,0.0114213678480694,0.0194726007072258,0.0149516224672767,0.0143254358031368,0.288946022007025,89.9139775
0.00672118959430063,0.0192423388806061,0.0117486820021991,0.013675844215807,0.0111220520414192,0.00855540470364542,0.0185506928084338,0.0136051923000843,0.00504305490546739,0.0142571737043109,0.252064887013936,95.4666035714286
0.00989967352658144,0.0129058715338641,0.0182891314896616,0.0103590464000375,0.018628027263797,0.014350401736877,0.00523731864269834,0.0189415585061564,0.0153634537627539,0.0199598427567722,0.286009134955046,90.4390855357143
0.00758510762517993,0.00705703624443317,0.0189889319455575,0.0154522724223485,0.00599000259083094,0.016331945789037,0.0163081428269187,0.0188453680331972,0.0156728713794271,0.00686406442958247,0.271742314518262,92.5821278571429
0.00529820200759693,0.00539316480316579,0.00542459732031192,0.00869316601404569,0.0179004192302433,0.0130824659651248,0.0132923296802865,0.0176304633853941,0.00686259972679867,0.00918775518516709,0.219044369443506,102.046764285714
0.0137863890718743,0.0195439362247951,0.0134154532888357,0.00527970934059415,0.0170094900902092,0.00849461410761531,0.0171065779342817,0.0108179096609626,0.0179531278183914,0.0162068246410578,0.277234850644303,91.6159121428572
0.0133436035098563,0.00704682838491028,0.00589876534268317,0.00682015183611106,0.00566827817817143,0.00661241193659139,0.00838564007911782,0.0156948347057401,0.0133957547308121,0.00518833970238674,0.185577273600518,110.497823214286
0.0060796141953423,0.0195091449500041,0.0135215069287991,0.00804939851991486,0.00878488616855485,0.0161573878111264,0.00793144221663978,0.0137203839090989,0.0195502998363247,0.0177024320223505,0.266230946898618,93.2635964285714
0.00859771638721379,0.012406545714031,0.0142993357757207,0.0174347134932527,0.00735187091969126,0.00527864303266114,0.00605033215578833,0.0122951766640555,0.0140949419248,0.0135327715562972,0.228553607303512,99.6943335714286
0.00976043613983241,0.0198292423161867,0.013696178288687,0.0107021175893533,0.0132642232867685,0.0161800164635975,0.0150384934017978,0.00897379336494214,0.00599502251642662,0.0105512629687116,0.255669873564062,94.8329319642857
