%_node_ ______x1_____ ______x2_____ ______T______ ______q______
     82 +2.500000e-02 +2.309029e-02 +8.464548e+01 +2.078729e+03
     83 +2.500000e-02 +2.309029e-02 +8.464548e+01 +2.078729e+03
     84 +2.400000e-02 +2.309029e-02 +8.464548e+01 +2.078729e+03
     85 +2.400000e-02 +2.309029e-02 +8.464548e+01 +2.078729e+03
     86 +2.400000e-02 +2.208528e-02 +8.472888e+01 +2.083733e+03
     87 +2.400000e-02 +2.108026e-02 +8.489772e+01 +2.093863e+03
     88 +2.400000e-02 +2.007524e-02 +8.514975e+01 +2.108985e+03
     89 +2.400000e-02 +1.907023e-02 +8.548570e+01 +2.129142e+03
     90 +2.400000e-02 +1.806521e-02 +8.590629e+01 +2.154377e+03
     91 +2.400000e-02 +1.706019e-02 +8.641228e+01 +2.184737e+03
     92 +2.400000e-02 +1.605518e-02 +8.700464e+01 +2.220279e+03
     93 +2.400000e-02 +1.505016e-02 +8.768464e+01 +2.261079e+03
     94 +2.400000e-02 +1.404515e-02 +8.845416e+01 +2.307250e+03
     95 +2.400000e-02 +1.304013e-02 +8.931605e+01 +2.358963e+03
     96 +2.400000e-02 +1.203511e-02 +9.027292e+01 +2.416375e+03
     97 +2.400000e-02 +1.103010e-02 +9.132710e+01 +2.479626e+03
     98 +2.400000e-02 +1.002508e-02 +9.248106e+01 +2.548864e+03
     99 +2.400000e-02 +9.020065e-03 +9.373748e+01 +2.624249e+03
    100 +2.400000e-02 +8.015049e-03 +9.509910e+01 +2.705946e+03
    101 +2.400000e-02 +7.010032e-03 +9.656811e+01 +2.794087e+03
    102 +2.400000e-02 +6.005016e-03 +9.814287e+01 +2.888572e+03
    103 +2.400000e-02 +5.000000e-03 +9.987637e+01 +2.992582e+03
    104 +2.400000e-02 +5.000000e-03 +9.987637e+01 +2.992582e+03
    105 +2.300000e-02 +5.000000e-03 +1.004990e+02 +3.029943e+03
    106 +2.200000e-02 +5.000000e-03 +1.003025e+02 +3.018153e+03
    107 +2.200000e-02 +5.000000e-03 +1.003025e+02 +3.018153e+03
    108 +2.200000e-02 +6.047353e-03 +9.922457e+01 +2.953474e+03
    109 +2.200000e-02 +7.094706e-03 +9.826409e+01 +2.895845e+03
    110 +2.200000e-02 +8.142060e-03 +9.742380e+01 +2.845428e+03
    111 +2.200000e-02 +9.189413e-03 +9.670656e+01 +2.802394e+03
    112 +2.200000e-02 +1.023677e-02 +9.611134e+01 +2.766680e+03
    113 +2.200000e-02 +1.128412e-02 +9.563671e+01 +2.738202e+03
    114 +2.200000e-02 +1.233147e-02 +9.528137e+01 +2.716882e+03
